publication_number,patent_citation,publication_date,assignee,title
EP3875452A1,0,0,0,0
EP3911126A1,0,0,0,0
EP3875633A1,0,0,0,0
EP3921428A1,0,0,0,0
EP3920934A1,0,0,0,0
EP3895710A1,0,0,0,0
EP3910327A1,0,0,0,0
EP3920933A1,0,0,0,0
EP3922431A1,0,0,0,0
EP3927432A2,WO2021186190A1,2021-09-23,Imperial College Innovations Limited,Coronavirus antibody
EP3927432A2,CN112225814A,2021-01-15,东莞博盛生物科技有限公司,Novel coronavirus RBD fusion protein subunit vaccine and preparation method and application thereof
EP3754993A1,CN113115077A,2021-07-13,上海交通大学,Code rate self-adaptive transmission method and system for static point cloud server
EP3809545A1,0,0,0,0
EP3825138A1,0,0,0,0
EP3872146A1,0,0,0,0
EP3901677A1,0,0,0,0
EP3930932A1,CN113020212A,2021-06-25,内蒙古绿汇恒泰大宗固废处置再生利用科技有限公司,Method for treating and recycling waste incineration fly ash
EP3930932A1,CN113045327A,2021-06-29,中国科学院过程工程研究所,Ceramsite and preparation method and application thereof
EP3930932A1,CN113332927A,2021-09-03,杭州灰弘环保科技有限公司,"Novel coupling system and method for pulping, washing and carbon neutralization of waste incineration fly ash"
EP3939225A1,0,0,0,0
EP3953778A1,US10967892B2,2021-04-06,"Rockwell Automation Technologies, Inc.",Independent cart system and method of operating the same
EP3736393A1,0,0,0,0
EP3741203A1,0,0,0,0
EP3741204A1,EP3900522A1,2021-10-27,Jacobus Alexander Jozef Lemmen,System for growing mushrooms
EP3741204B1,EP3900522A1,2021-10-27,Jacobus Alexander Jozef Lemmen,System for growing mushrooms
EP3786756A1,0,0,0,0
EP3831197A1,0,0,0,0
EP3890454A1,0,0,0,0
EP3935803A1,0,0,0,0
EP3936480A1,0,0,0,0
EP3938336A1,0,0,0,0
EP3948901A1,0,0,0,0
EP3950524A1,0,0,0,0
EP3716207A1,0,0,0,0
EP3731417A1,0,0,0,0
EP3815518A2,0,0,0,0
EP3815518A3,0,0,0,0
EP3875249A1,0,0,0,0
EP3878630A1,0,0,0,0
EP3914560A1,0,0,0,0
EP3929094A1,0,0,0,0
EP3942116A1,0,0,0,0
EP3942738A1,0,0,0,0
EP3956682A1,0,0,0,0
EP3678051A1,0,0,0,0
EP3680196A1,0,0,0,0
EP3680392A1,JP6899571B1,2021-07-07,株式会社エステクノ,Abdominal upright correction jig and mountain retaining wall construction method
EP3680758A1,US11182023B2,2021-11-23,Flatfrog Laboratories Ab,Dynamic touch quarantine frames
EP3680758A1,US10496227B2,2019-12-03,Flatfrog Laboratories Ab,Optical touch system comprising means for projecting and detecting light beams above and inside a transmissive panel
EP3680758A1,WO2018174787A1,2018-09-27,Flatfrog Laboratories,Eraser for touch displays
EP3680758A1,EP3602259A4,2021-01-20,FlatFrog Laboratories AB,Touch sensing apparatus and method for assembly
EP3680758A1,EP3676694A4,2021-06-09,FlatFrog Laboratories AB,Improved optical component
EP3680758A1,US10897110B2,2021-01-19,Nxp B.V.,Hybrid connector for high speed wireline communication
EP3683157A1,USD908480S1,2021-01-26,Euro-Caps Holding B.V.,Capsule
EP3683973A1,US10917930B2,2021-02-09,Qualcomm Incorporated,Reliable wireless communication with a source using relayed communication
EP3686364A1,0,0,0,0
EP3686494B1,0,0,0,0
EP3686583A1,0,0,0,0
EP3689729A1,0,0,0,0
EP3690156A1,0,0,0,0
EP3690854A2,0,0,0,0
EP3690854A3,0,0,0,0
EP3691135A1,US11211694B2,2021-12-28,Nxp B.V.,Near-field wireless device
EP3692785A1,0,0,0,0
EP3692790B1,US11096384B2,2021-08-24,Christina Jemail,Enhanced equine tool
EP3692790B1,USD911808S1,2021-03-02,Cody J. Childers,Two-handed file
EP3693301A1,US10934099B2,2021-03-02,"Caromation, Inc.",Electric pallet conveyor
EP3693417A1,0,0,0,0
EP3695825A1,WO2021224118A1,2021-11-11,Unilever Ip Holdings B.V.,Personal care compositions comprising a metal piroctone complex
EP3695960A1,KR102288598B1,2021-08-10,권진상,Binding device for compressed waste paper using wire
EP3696128A1,0,0,0,0
EP3696509A1,US11118916B2,2021-09-14,Here Global B.V.,"Method, apparatus, and system for providing a campaign management platform to discover map data"
EP3698690A1,0,0,0,0
EP3699112A1,0,0,0,0
EP3699112B1,0,0,0,0
EP3699382A1,0,0,0,0
