publication_number,patent_citation,publication_date,assignee,title
EP3875452A1,WO2010119992A1,2010-10-21,Takeda Pharmaceutical Company Limited,Derivatives of n-acyl-n'-phenylpiperazine useful (inter alia) for the prophylaxis or treatment of diabetes
EP3875452A1,WO2010124082A1,2010-10-28,Janssen Pharmaceutica Nv,Azetidinyl diamides as monoacylglycerol lipase inhibitors
EP3875452A1,WO2019072785A1,2019-04-18,F. Hoffmann-La Roche Ag,Piperazine derivatives as magl inhibitors
EP3911126A1,US7326948B2,2008-02-05,Asml Netherlands B.V.,"Beam modifying device, lithographic projection apparatus, method of treating a beam, and device manufacturing method"
EP3911126A1,WO2020148069A1,2020-07-23,Stichting Vu,Euv radiation source and related methods
EP3875633A1,US4324854A,1982-04-13,California Institute Of Technology,Deposition of metal films and clusters by reactions of compounds with low energy electrons on surfaces
EP3875633A1,US4505949A,1985-03-19,Texas Instruments Incorporated,Thin film deposition using plasma-generated source gas
EP3875633A1,EP0184352A1,1986-06-11,"Hitachi, Ltd.",Method of surface treatment
EP3875633A1,US20020066411A1,2002-06-06,Chiang Tony P.,Method and apparatus for improved temperature control in atomic layer deposition
EP3875633A1,US6952253B2,2005-10-04,Asml Netherlands B.V.,Lithographic apparatus and device manufacturing method
EP3921428A1,US6015686A,2000-01-18,"Chiron Viagene, Inc.",Eukaryotic layered vector initiation systems
EP3921428A1,AT440957T,2009-09-15,Novartis Vaccines & Diagnostic,RECOMBINANT ALPHAVIRUS VECTORS
EP3921428A1,US5542723A,1996-08-06,Scharf; Kenneth R.,Portable privacy lock
EP3921428A1,JP3425502B2,2003-07-14,理想科学工業株式会社,Emulsion ink for stencil printing
EP3921428A1,US6451592B1,2002-09-17,Chiron Corporation,Recombinant alphavirus-based vectors with reduced inhibition of cellular macromolecular synthesis
EP3921428A1,WO1997038087A2,1997-10-16,Chiron Corporation,Alphaviral vector with reduced inhibition of cellular macromolecular synthesis
EP3921428A1,US5842723A,1998-12-01,"Burex Automotive America, Inc.","Flexible connection arrangement for connecting a pipe of an exhaust system to an engine, especially in a motor vehicle"
EP3921428A1,CA2359013C,2011-02-01,Chiron Corporation,Compositions and methods for packaging of alphavirus vectors
EP3921428A1,DE60044125D1,2010-05-20,Novartis Vaccines & Diagnostic,COMPOSITIONS AND METHODS FOR TRIGGING AN IMMUNE RESPONSE BASED ON ALPHAVIRUS VECTOR SYSTEMS
EP3921428A1,AT409749T,2008-10-15,Novartis Vaccines & Diagnostic,PROCESS FOR CLEANING ALPHAVIRAL REPLICANT PARTICLES
EP3921428A1,EP1195438A1,2002-04-10,Rijksuniversiteit te Groningen,Genetic immunisation against cervical carcinoma
EP3921428A1,DK2290054T3,2017-07-03,Alphavax Inc,Alpha virus particles and processes for their preparation
EP3921428A1,ES2647491T3,2017-12-21,"Novartis Vaccines And Diagnostics, Inc.",Alphavirus vectors for influenza virus vaccines
EP3921428A1,WO2006039253A2,2006-04-13,Children's Memorial Hospital,Sirna-mediated gene silencing of alpha synuclein
EP3921428A1,JP2007117003A,2007-05-17,Nippon Pall Kk,Method for rapidly removing and purifying hollow virus particle
EP3921428A1,US10137186B2,2018-11-27,"Takeda Vaccines, Inc.","Compositions and methods for live, attenuated alphavirus formulations"
EP3920934A1,JP5554466B2,2014-07-23,味の素株式会社,Anti-human TNF-α antibody activity decrease inhibitor
EP3920934A1,WO2007131286A1,2007-11-22,Apollo Life Sciences Limited,Nanostructures suitable for delivery of agents
EP3920934A1,JP2015535280A,2015-12-10,レイクスユニフェルシテイト フローニンゲン,Methods and compositions for stimulating beneficial bacteria in the gastrointestinal tract
EP3920934A1,CN108094786A,2018-06-01,佛山实瑞先导材料研究院（普通合伙）,A kind of teenager's corn peptide sports beverage and preparation method thereof
EP3895710A1,US7651855B2,2010-01-26,The Trustees Of The University Of Pennsylvania,Regulatory T cells and their use in immunotherapy and suppression of autoimmune responses
EP3895710A1,US20160193257A1,2016-07-07,The University Of Tokyo,Human-derived bacteria that induce proliferation or accumulation of regulatory t cells
EP3895710A1,US9433652B2,2016-09-06,The University Of Tokyo,Composition for inducing proliferation or accumulation of regulatory T cells
EP3895710A1,WO2017009257A2,2017-01-19,Nutrition Sciences N.V.,Feed compositions for preventing and treating inflammatory diseases
EP3895710A1,CN107158026A,2017-09-15,江南大学,Application of the low-ester pectin in preventing and treating or auxiliary treatment diabetes
EP3895710A1,WO2019081523A1,2019-05-02,Nutrileads B.V.,Enzymatically hydrolysed pectic polysaccharides for treating or preventing infections
EP3895710A1,US10300085B2,2019-05-28,Daicel Corporation,Nutritional composition
EP3895710A1,US20190307795A1,2019-10-10,The Board Of Trustees Of The Leland Stanford Junior University,Regulatory t cells targeted with chimeric antigen receptors
EP3895710A1,US20190358258A1,2019-11-28,Robert J. Deans,Methods for enhancing proliferation of t regulatory cells
EP3910327A1,US5336998A,1994-08-09,United States Pipe And Foundry Company,Sensor for detecting faults in a magnetized ferrous object using hall effect elements
EP3910327A1,US8773121B2,2014-07-08,Sony Computer Entertainment Inc.,Magnetic input for computer device
EP3910327A1,US9651472B2,2017-05-16,"The Charles Stark Draper Laboratory, Inc.",System and method of measuring defects in ferromagnetic materials
EP3920933A1,KR101982914B1,2019-05-27,재단법인 아산사회복지재단,Synergistic compositions of anticacer activity of gemcitabine against pancreatic cancer containing 6-thioguanine
EP3920933A1,EP3801470A1,2021-04-14,DSM IP Assets B.V.,New formulation
EP3922431A1,US20080003560A1,2008-01-03,Reprocell Inc.,Tailor-made pluripotent stem cell and use of the same
EP3922431A1,US20080233610A1,2008-09-25,Thomson James A,Somatic cell reprogramming
EP3922431A1,WO2009032456A2,2009-03-12,Primegen Biotech Llc,Non-viral delivery of transcription factors that reprogram human somatic cells into a stem cell-like state
EP3922431A1,WO2009032194A1,2009-03-12,Whitehead Institute For Biomedical Research,Wnt pathway stimulation in reprogramming somatic cells
EP3922431A1,EP2072618A1,2009-06-24,Johannes Gutenberg-Universität Mainz,Use of RNA for reprogramming somatic cells
