publication_number,patent_citation,publication_date,assignee,title
EP3875452A1,0,0,0,"""Design of Prodrugs"", 1985, ELSEVIER"
EP3875452A1,0,0,0,"BERGE ET AL.: ""Pharmaceutical Salts"", JOURNAL OF PHARMACEUTICAL SCIENCE, vol. 66, 1977, pages 1 - 19, XP002675560, DOI: 10.1002/jps.2600660104"
EP3875452A1,0,0,0,"CARLOTTA GRANCHI ET AL: ""A patent review of Monoacylglycerol Lipase (MAGL) inhibitors (2013-2017)"", EXPERT OPINION ON THERAPEUTIC PATENTS, vol. 27, no. 12, 20 October 2017 (2017-10-20), pages 1341 - 1351, XP055675734, ISSN: 1354-3776, DOI: 10.1080/13543776.2018.1389899"
EP3875452A1,0,0,0,"CISAR, J.S.: ""Identification of ABX-1431, a Selective Inhibitor of Monoacylglycerol Lipase and Clinical Candidate for Treatment of Neurological Disorder"", J. MED. CHEM., vol. 61, no. 20, 25 October 2018 (2018-10-25), pages 062 - 9084, XP055675146, DOI: 10.1021/acs.jmedchem.8b00951"
EP3875452A1,0,0,0,"DENG, H.LI, W.: ""Monoacylglycerol lipase inhibitors: Modulators for lipid metabolism in cancer malignancy, neurological and metabolic disorders"", ACTA PHARMACEUTICA SINICA B, Retrieved from the Internet <URL:https://doi.or/10.1016/i.apsb.2019.10.006>"
EP3875452A1,0,0,0,"DK NOMURA ET AL.: ""Monoacylglycerol Lipase Regulates a Fatty Acid Network that Promotes Cancer Pathogenesis"", CELL, vol. 140, no. 1, 2010, pages 49 - 61"
EP3875452A1,0,0,0,"GOODMANGILLMAN ET AL.: ""The Pharmacological Bases of Therapeutics"", 1990, MACK PUBLISHING CO."
EP3875452A1,0,0,0,"GRANCHI, C. ET AL., EXPERT OPINION ON THERAPEUTIC PATENTS, vol. 27, no. 12, 2017, pages 1341 - 1351"
EP3875452A1,0,0,0,"HU W.R: ""Monoacylglycerol lipase promotes metastases in nasopharyngeal carcinoma"", INT. J. CLIN. EXP. PATHOL., vol. 7, no. 7, 2014, pages 3704 - 3713"
EP3875452A1,0,0,0,"JUDKINS ET AL., SYNTHETIC COMMUNICATIONS, vol. 26, no. 23, 1996, pages 4351 - 4367"
EP3875452A1,0,0,0,"NOMURA D.K. ET AL.: ""Monoacylglycerol Lipase Exerts Dual Control over Endocannabinoid and Fatty Acid Pathways to Support Prostate Cancer"", CHEMISTRY AND BIOLOGY, vol. 18, no. 7, 2011, pages 846 - 856, XP028248849, DOI: 10.1016/j.chembiol.2011.05.009"
EP3875452A1,0,0,0,"NOMURA D.K. ET AL.: ""Monoacylglycerol Lipase Regulates a Fatty Acid Network that Promotes Cancer Pathogenesis"", CELL, vol. 140, 8 January 2010 (2010-01-08), pages 49 - 61"
EP3875452A1,0,0,0,"PAGANO E. ET AL.: ""Pharmacological inhibition of MAGL attenuates experimental colon carcinogenesis"", PHARMACOLOGICAL RESEARCH, vol. 119, 2017, pages 227 - 236, XP029980366, DOI: 10.1016/j.phrs.2017.02.002"
EP3875452A1,0,0,0,"PAGANO ET AL.: ""Pharmacological inhibition of MAGL attenuates experimental colon carcinogenesis"", PHARMACOL RES., vol. 5, no. 119, 2017, pages 227 - 236"
EP3875452A1,0,0,0,"STICHT M.A. ET AL.: ""Inhibition of monoacylglycerol lipase attenuates vomiting in Suncus murinus and 2-arachidonoyl glycerol attenuates nausea in rats"", BRITISH JOURNAL OF PHARMACOLOGY, vol. 165, no. 8, 2011, Retrieved from the Internet <URL:https://doi.org/10.1111/j.1476-5381.2011.01407.x>"
EP3875452A1,0,0,0,"T. HIGUCHIV. STELLA: ""Bioreversible Carriers in Drug Design"", vol. 14, 1987, AMERICAN PHARMACEUTICAL ASSOCIATION AND PERGAMON PRESS, article ""Pro-drugs as Novel Delivery Systems, Vol. 14 of the A.C.S. Symposium Series"""
EP3875452A1,0,0,0,"ZHU W.: ""Monoacylglycerol lipase promotes progression of hepatocellular carcinoma via NF- B-mediated epithelial-mesenchymal transition"", JOURNAL OF HEMATOLOGY & ONCOLOGY, vol. 9, 2016"
EP3911126A1,0,0,0,"BALCIUNAS T ET AL: ""High-power top-hat pulses from a Yb master oscillator power amplifier for efficient optical parametric amplifier pumping"", OPTICS LETTERS, OPTICAL SOCIETY OF AMERICA, US, vol. 37, no. 13, 1 July 2012 (2012-07-01), pages 2547 - 2549, XP001576837, ISSN: 0146-9592, [retrieved on 20120621], DOI: 10.1364/OL.37.002547"
EP3911126A1,0,0,0,"FAN G ET AL: ""High power top-hat pulses for efficient OPA pumping"", 2013 CONFERENCE ON LASERS & ELECTRO-OPTICS EUROPE & INTERNATIONAL QUANTUM ELECTRONICS CONFERENCE CLEO EUROPE/IQEC, IEEE, 12 May 2013 (2013-05-12), pages 1, XP032589236, DOI: 10.1109/CLEOE-IQEC.2013.6801059"
EP3911126A1,0,0,0,"SMRZ MARTIN ET AL: ""Progress in kW-class picosecond thin-disk lasers development at the HiLASE"", PROCEEDINGS OF SPIE; [PROCEEDINGS OF SPIE ISSN 0277-786X VOLUME 10524], SPIE, US, vol. 9726, 16 March 2016 (2016-03-16), pages 972617 - 972617, XP060067150, ISBN: 978-1-5106-1533-5, DOI: 10.1117/12.2212396"
EP3875633A1,0,0,0,"PROC. OF SPIE, vol. 7969, 2011, pages 79690M"
EP3921428A1,0,0,0,0
EP3920934A1,0,0,0,0
EP3895710A1,0,0,0,"""Cell Wall Polysaccharides"", 2005, JOHN WILEY & SONS, INC, article ""Handbook of Food Analytical Chemistry: Water, Proteins, Enzjmes, Lipids, and Carbohydrates"""
EP3895710A1,0,0,0,"""PhD thesis of Stephanie Guillotin (Studies on the intra- and intermolecular distributions of substituents in commercial pectins"", 2005, WAGENINGEN UNIVERSITY"
EP3895710A1,0,0,0,"BAUER ET AL., NUTR RES REV., vol. 19, no. 1, 2006, pages 63 - 78"
EP3895710A1,0,0,0,"BLUMENKRANTZASBOE-HANSEN, ANAL BIOCHEM, vol. 54, 1973, pages 484 - 489"
EP3895710A1,0,0,0,"BROXTERMAN ET AL., CARBOHYDRATE POLYMERS, vol. 177, 2017, pages 58 - 66"
EP3895710A1,0,0,0,"CHARBONNIER ET AL., J. IMMUNOLOGY, vol. 177, no. 6, 2006, pages 3806 - 13"
EP3895710A1,0,0,0,"CHATJIGAKIS ET AL., CARBOHYDRATE POLYMERS, vol. 37, 1998, pages 395 - 408"
EP3895710A1,0,0,0,"CHEN ET AL., INT IMMUNOPHARMACOL., vol. 11, no. 5, 2011, pages 536 - 542"
EP3895710A1,0,0,0,"CHRISTENSEN: ""Food Hydrocolloids"", PECTINS, vol. 3, 1986, pages 205 - 230"
EP3895710A1,0,0,0,"DAAS P J H ET AL: ""Characterization of non-esterified galacturonic acid sequences in pectin with endopolygalacturonase"", CARBOHYDRATE RESEARCH, PERGAMON, GB, vol. 326, no. 2, 1 June 2000 (2000-06-01), pages 120 - 129, XP004200122, ISSN: 0008-6215, DOI: 10.1016/S0008-6215(00)00037-9"
EP3895710A1,0,0,0,"ELDERMAN ET AL., BIOL SEX DIFFER., vol. 9, 2018, pages 26"
EP3895710A1,0,0,0,"FOOD CHEMICAL CODEX, 1981"
EP3895710A1,0,0,0,"GNANASAMBANDAMPROCTOR, FOOD CHEMISTRY, vol. 68, 2000, pages 327 - 332"
EP3895710A1,0,0,0,"GRASDALEN ET AL., CARBOHYDRATE RESEARCH, vol. 184, 1988, pages 183 - 191"
EP3895710A1,0,0,0,"HAASJAGER, JOURNAL OF FOOD SCIENCE, vol. 51, no. 4, 1986, pages 1087 - 1088"
EP3895710A1,0,0,0,"HERMANS ET AL., VET REC., vol. 158, no. 18, 2006, pages 615 - 622"
EP3895710A1,0,0,0,"HUISMAN ET AL., FOOD HYDROCOLLOIDS, vol. 18, no. 4, 2004, pages 665 - 668"
EP3895710A1,0,0,0,"JIANG ET AL., FOOD CHEMISTRY, vol. 91, 2005, pages 551 - 555"
EP3895710A1,0,0,0,"JIANG ET AL., JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY, vol. 49, 2001, pages 5584 - 5588"
EP3895710A1,0,0,0,"KRAVTCHENKO ET AL., CARBOHYDRATE POLYMERS, vol. 19, 1992, pages 115 - 124"
EP3895710A1,0,0,0,"LALLES ET AL., ANIMAL RESEARCH, vol. 53, 2004, pages 301 - 316"
EP3895710A1,0,0,0,"LALLES ET AL., PROC NUTR SOC., vol. 66, no. 2, 2007, pages 260 - 268"
EP3895710A1,0,0,0,"LEVIGNE ET AL., FOOD HYDROCOLLOIDS, vol. 16, no. 6, 2002, pages 547 - 550"
EP3895710A1,0,0,0,"LINLIN FAN ET AL: ""Preventive effects of pectin with various degrees of esterification on ulcerative colitis in mice"", FOOD & FUNCTION, vol. 11, no. 4, 24 February 2020 (2020-02-24), GB, pages 2886 - 2897, XP055727813, ISSN: 2042-6496, DOI: 10.1039/C9FO03068A"
EP3895710A1,0,0,0,"LUU ET AL., CLIN. TRANSL. IMMUNOLOGY, vol. 6, no. 9, 2017, pages e56"
EP3895710A1,0,0,0,"MAY, CARBOHYDR. POLYMERS, vol. 12, 1990, pages 79 - 99"
EP3895710A1,0,0,0,"PIET J. H. DAAS ET AL: ""Nonesterified galacturonic acid sequence homology of pectins"", BIOPOLYMERS, vol. 58, no. 1, 1 January 2001 (2001-01-01), US, pages 1 - 8, XP055729624, ISSN: 0006-3525, DOI: 10.1002/1097-0282(200101)58:1<1::AID-BIP10>3.0.CO;2-I"
EP3895710A1,0,0,0,"RALET ET AL., BIOMACROMOLECULES, vol. 13, 2012, pages 1615 - 1624"
EP3895710A1,0,0,0,"REINTJES ET AL., JOURNAL OF FOOD SCIENCES, vol. 27, 1962, pages 441 - 445"
EP3895710A1,0,0,0,"SANDQUISTKOLLS, FLOOORES., vol. 7, 2018, pages 205"
EP3895710A1,0,0,0,"THIBAULTROBIN: ""Automatisation du dosage des acides uroniques par la methode de carbazol. Application au cas de matieres pectiques"", ANN.TECHNOL.AGRIC., vol. 24, 1975, pages 99 - 110"
EP3895710A1,0,0,0,"TIMBERMONT ET AL., AVIAN PATHOL., vol. 40, no. 4, 2011, pages 341 - 347"
EP3895710A1,0,0,0,"VORAGEN ET AL., FOOD HYDROCOLLOIDS, vol. 1, no. 1, 1986, pages 65 - 70"
EP3895710A1,0,0,0,"VORAGENSTEPHEN A. M. ET AL.: ""Food polysaccharides and their applications"", 1995, MARCEL DEKKER INC, pages: 287 - 339"
EP3895710A1,0,0,0,"WALTER ET AL., JOURNAL OF FOOD SCIENCE, vol. 48, no. 3, 1983, pages 1006 - 1007"
EP3895710A1,0,0,0,"WIJTTEN ET AL., ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE, vol. 62, no. 1, 2012, pages 1 - 12"
EP3895710A1,0,0,0,"WIJTTEN ET AL., BR J NUTR., vol. 105, no. 7, 2011, pages 967 - 981"
EP3895710A1,0,0,0,"YANG ET AL., MUCOSAL IMMUNOL., vol. 9, no. 2, 2016, pages 444 - 457"
EP3895710A1,0,0,0,"ZHONG ET AL., CARBOHYDRATE POLYMERS, vol. 32, no. 1, 1997, pages 27 - 32"
EP3895710A1,0,0,0,"ZHONG ET AL., CARBOHYDRATE RESEARCH, vol. 308, 1998, pages 1 - 8"
EP3910327A1,0,0,0,"LI PEIYUAN ET AL: ""Sensitivity boost of rosette eddy current array sensor for quantitative monitoring crack"", SENSORS AND ACTUATORS A: PHYSICAL, ELSEVIER BV, NL, vol. 246, 13 May 2016 (2016-05-13), pages 129 - 139, XP029579320, ISSN: 0924-4247, DOI: 10.1016/J.SNA.2016.05.023"
EP3920933A1,0,0,0,0
EP3922431A1,0,0,0,"AFSHAR ET AL.: ""A 96-well culture platform enables longitudinal analyses of engineered human skeletal muscle microtissue strength"", BIORXIV 562819, 2019"
EP3922431A1,0,0,0,"AGRAWAL ET AL.: ""Skeletal muscle-on-a-chip: an in vitro model to evaluate tissue formation and injury"", LAB CHIP, vol. 17, 2017, pages 3447 - 3461"
EP3922431A1,0,0,0,"ALESSANDRO IULIANO ET AL: ""Coupling 3D Printing and Novel Replica Molding for In House Fabrication of Skeletal Muscle Tissue Engineering Devices"", ADVANCED MATERIALS TECHNOLOGIES, 26 July 2020 (2020-07-26), DE, pages 2000344, XP055735796, ISSN: 2365-709X, DOI: 10.1002/admt.202000344"
EP3922431A1,0,0,0,"BALMERT STEPHEN C ET AL: ""Dissolving undercut microneedle arrays for multicomponent cutaneous vaccination"", JOURNAL OF CONTROLLED RELEASE, ELSEVIER, AMSTERDAM, NL, vol. 317, 19 November 2019 (2019-11-19), pages 336 - 346, XP086001793, ISSN: 0168-3659, [retrieved on 20191119], DOI: 10.1016/J.JCONREL.2019.11.023"
EP3922431A1,0,0,0,"CHRISTENSEN ET AL.: ""3D Printed Hydrogel Multiassay Platforms for Robust Generation of Engineered Contractile Tissues"", BIOMACROMOLECULES, vol. 21, 2020, pages 356 - 365"
EP3922431A1,0,0,0,"HINDS ET AL.: ""The role of extracellular matrix composition in structure and function of bioengineered skeletal muscle"", BIOMATERIALS, vol. 32, 2011, pages 3575 - 3583, XP028170160, DOI: 10.1016/j.biomaterials.2011.01.062"
EP3922431A1,0,0,0,"KALMAN ET AL.: ""Quick and easy microfabrication of T-shaped cantilevers to generate arrays of microtissues"", BIOMED. MICRODEVICES, vol. 18, 2016, pages 43"
EP3922431A1,0,0,0,"LEGANT ET AL.: ""Microfabricated tissue gauges to measure and manipulate forces from 3D microtissues"", PNAS, no. 25, 2009, pages 10097 - 10102, XP055149619, DOI: 10.1073/pnas.0900174106"
EP3922431A1,0,0,0,"LEGANT ET AL.: ""Microfabricated tissue gauges to measure and manipulate forces from 3D microtissues"", PROC. NATL. ACAD. SCI., vol. 106, 2009, pages 10097 LP - 10102"
EP3922431A1,0,0,0,"OSAKI ET AL.: ""Microphysiological 3D model of amyotrophic lateral sclerosis (ALS) from human iPS-derived muscle cells and optogenetic motor neurons"", SCI. ADV., vol. 4, 2018, pages eaat5847"
EP3922431A1,0,0,0,"OSAKI ET AL.: ""On-chip 3D neuromuscular model for drug screening and precision medicine in neuromuscular disease"", NAT. PROTOC., vol. 15, 2020, pages 421 - 449, XP037005236, DOI: 10.1038/s41596-019-0248-1"
EP3922431A1,0,0,0,"OSAKI TATSUYA ET AL: ""On-chip 3D neuromuscular model for drug screening and precision medicine in neuromuscular disease"", NATURE PROTOCOLS, NATURE PUBLISHING GROUP, GB, vol. 15, no. 2, 13 January 2020 (2020-01-13), pages 421 - 449, XP037005236, ISSN: 1754-2189, [retrieved on 20200113], DOI: 10.1038/S41596-019-0248-1"
EP3922431A1,0,0,0,"RAMADE ET AL.: ""Microfabrication of a Platform to Measure and Manipulate the Mechanics of Engineered Microtissues"", METHODS CELL BIOL., vol. 121, 2014, pages 191 - 211"
EP3922431A1,0,0,0,"RONALDSON-BOUCHARD ET AL.: ""Engineering of human cardiac muscle electromechanically matured to an adult-like phenotype"", NAT. PROTOC., vol. 14, 2019, pages 2781 - 2817, XP036888705, DOI: 10.1038/s41596-019-0189-8"
EP3922431A1,0,0,0,"SAGGIOMO ET AL.: ""Simple 3D Printed Scaffold-Removal Method for the Fabrication of Intricate Microfluidic Devices"", ADVANCED SCIENCE, vol. 2, 2015, pages 1500125, XP055500321, DOI: 10.1002/advs.201500125"
EP3922431A1,0,0,0,"TAKAHASHI ET AL.: ""Engineered Human Contractile Myofiber Sheets as a Platform for Studies of Skeletal Muscle Physiology"", SCI. REP., vol. 8, 2018, pages 13932"
EP3927432A2,0,0,0,0
EP3754993A1,0,0,0,0
EP3809545A1,0,0,0,0
EP3825138A1,0,0,0,0
EP3872146A1,0,0,0,"BYUNG-RYOOL HYUN, J. PHYS. CHEM. B, vol. 111, no. 20, 2007, pages 5726 - 5730"
EP3872146A1,0,0,0,"DATABASE WPI Week 201985, Derwent World Patents Index; AN 2019-88184Q, XP002800007"
EP3872146A1,0,0,0,"HAK SOO CHOI ET AL., NATURE BIOTECHNOLOGY, vol. 25, 2007, pages 1165 - 1170"
EP3872146A1,0,0,0,"HAK SOO CHOI ET AL: ""Renal clearance of quantum dots"", NATURE BIOTECHNOLOGY, vol. 25, no. 10, 23 September 2007 (2007-09-23), us, pages 1165 - 1170, XP055511023, ISSN: 1087-0156, DOI: 10.1038/nbt1340"
EP3872146A1,0,0,0,"NOIPA T ET AL., SPECTROCHIM ACTA A MOL BIOMOL SPECTROSC., vol. 118, 24 January 2014 (2014-01-24), pages 17 - 23"
EP3901677A1,0,0,0,0
EP3930932A1,0,0,0,0
EP3939225A1,0,0,0,0
EP3953778A1,0,0,0,0
EP3736393A1,0,0,0,0
EP3741203A1,0,0,0,0
EP3741204A1,0,0,0,0
EP3741204B1,0,0,0,0
EP3786756A1,0,0,0,0
EP3831197A1,0,0,0,"""Praktijkonderzoek Plant & Omgeving, Paddestoelen"", 2007, WAGENINGEN UNIVERSITY & RESEARCH DIVISION, article ""Nieuwe methoden voor de handmatige oogst van champignons"""
EP3831197A1,0,0,0,"GERBEN STRAATSMA ET AL: ""Nieuwe methoden voor de handmatige oogst van champignons"", 1 January 2007 (2007-01-01), XP055648091, Retrieved from the Internet <URL:https://www.wur.nl/nl/Publicatie-details.htm?publicationId=publication-way-333630383532> [retrieved on 20191202]"
EP3890454A1,0,0,0,0
EP3935803A1,0,0,0,0
EP3936480A1,0,0,0,"DICHO ZOMAYA ET AL: ""Bimodal Size Distribution of VO 2 Nanoparticles in Hydrophilic Polymer Films for Temperature-Triggered Infrared Transmission Control"", ACS APPLIED NANO MATERIALS, vol. 3, no. 7, 27 May 2020 (2020-05-27), pages 6645 - 6653, XP055759932, ISSN: 2574-0970, DOI: 10.1021/acsanm.0c01072"
EP3936480A1,0,0,0,"MELNIK V ET AL: ""Low-temperature method for thermochromic high ordered VOphase formation"", MATERIALS LETTERS, ELSEVIER, AMSTERDAM, NL, vol. 68, 21 October 2011 (2011-10-21), pages 215 - 217, XP028351696, ISSN: 0167-577X, [retrieved on 20111029], DOI: 10.1016/J.MATLET.2011.10.075"
EP3936480A1,0,0,0,"SHISKIN ET AL., SENSORS AND ACTUATORS B, vol. 108, 2005, pages 113 - 118"
EP3936480A1,0,0,0,"ZHENFEI LUO ET AL: ""Electrical and optical properties of nanostructured VOthin films prepared by direct current magnetron reactive sputtering and post-annealing in oxygen"", THIN SOLID FILMS, ELSEVIER, AMSTERDAM, NL, vol. 519, no. 19, 1 March 2011 (2011-03-01), pages 6203 - 6207, XP028377826, ISSN: 0040-6090, [retrieved on 20110313], DOI: 10.1016/J.TSF.2011.03.003"
EP3938336A1,0,0,0,0
EP3948901A1,0,0,0,0
EP3950524A1,0,0,0,0
EP3716207A1,0,0,0,"""R: A language and environment for statistical computing"", 2011, R FOUNDATION FOR STATISTICAL COMPUTING"
EP3716207A1,0,0,0,"BEZEMER RDOBBE JGBARTELS SABOERMA ECCHRISTIAAN BOERMA EELBERS PWGHEGER MINCE C: ""Rapid automatic assessment of microvascular density in side stream dark field images"", MED. BIOL. ENG. COMPUT., vol. 49, 2011, pages 1269 - 1278"
EP3716207A1,0,0,0,"BUNYAK FPALANIAPPAN KGLINSKII OGLINSKII VGLINSKY VHUXLEY V: ""Epifluorescence-based quantitative microvasculature remodeling using geodesic level-sets and shape-based evolution"", CONF PROC IEEE ENG MED BIOL SOC., vol. 2008, 2008, pages 3134 - 7"
EP3716207A1,0,0,0,"CHOLLET FALLAIRE JJ: ""Deep Learning with R"", 2018, MANNING PUBLICATIONS"
EP3716207A1,0,0,0,"DEMIR SUHAKIMZADEH RHARGRAVES RHWARD KRMYER EVNAJARIAN K: ""An automated method for analysis of microcirculation videos for accurate assessment of tissue perfusion"", BMC MED. IMAGING, vol. 12, 2012, pages 37, XP021135203, DOI: 10.1186/1471-2342-12-37"
EP3716207A1,0,0,0,"DOBBE JGSTREEKSTRA GJATASEVER BVAN ZIJDERVELD RINCE C: ""Measurement of functional microcirculatory geometry and velocity distributions using automated image analysis"", MED BIOL ENG COMPUT, vol. 46, no. 7, 2008, pages 659 - 70, XP019864915, DOI: 10.1007/s11517-008-0349-4"
EP3716207A1,0,0,0,"GOEDHART PTKHALILZADA MBEZEMER RMERZA J: ""Ince C Sidestream dark field (SDF) imaging: a novel stroboscopic LED ring-based imaging modality for clinical assessment of the microcirculation"", OPT EXPRESS, vol. 15, no. 23, 2007, pages 15101 - 15114"
EP3716207A1,0,0,0,"GRONER WWINKELMAN JWHARRIS AGINCE CBOUMA GJMESSMER KNADEAU R: ""Orthogonal polarization spectral imaging: A new method for study of the microcirculation"", NATURE MEDICINE, vol. 5, no. 10, 1999, pages 1209 - 12, XP002400313"
EP3716207A1,0,0,0,"HILTY MPAREND SVAN ASSEN MTORAMAN FINCE C: ""A software tool to quantify capillary blood volume and absolute red blood cell velocity in sublingual incident dark field microscopy video clips"", INTENSIVE CARE MED EXP, vol. 6, 2018, pages 172 - 173"
EP3716207A1,0,0,0,"INCE C: ""Hemodynamic coherence and the rationale for monitoring the microcirculation"", CRIT CARE., vol. 19, 2015, pages S8"
EP3716207A1,0,0,0,"INCE CBOERMA ECCECCONI MDE BACKER DSHAPIRO NIDURANTEAU JPINSKY MRARTIGAS ATEBOUL JLREISS IKM: ""Intensive Care Medicine"", vol. 44, March 2018, EUROPEAN SOCIETY OF INTENSIVE CAREMEDICINE, pages: 281 - 299"
EP3716207A1,0,0,0,"INCE CBOERMA ECCECCONI MDE BACKER DSHAPIRO NIDURANTEAU JPINSKY MRARTIGAS ATEBOUL JLREISS IKM: ""Scheeren TWL Second consensus on the assessment of sublingual microcirculation in critically ill patients. : Results from a task force of the European Society of Intensive CareMedicine"", INTENSIVE CARE MED., vol. 44, no. 3, 18 March 2018 (2018-03-18), pages 281 - 299"
EP3716207A1,0,0,0,"KELLUM JALAMEIRE N: ""KDIGO AKI Guideline Work Group. Diagnosis, evaluation, and management of acute kidney injury: a KDIGO summary"", CRIT CARE, vol. 17, no. 1, 4 February 2013 (2013-02-04), pages 204"
EP3716207A1,0,0,0,"KLYSCZ TJU''NGER MJUNG FZEINTL H: ""Cap Image-ein neuartiges computerunterstu''tztes Videobildanalysesystem fu''r die dynamische Kapillarmikroskopie"", BIOMEDIZINISCHE TECHNIK, vol. 42, no. 6, 1997, pages 168 - 175"
EP3716207A1,0,0,0,"LIU CGOMEZ HNARASIMHAN S ET AL.: ""IEEE Conference on Computer Vision and Pattern Recognition (CVPR"", 2015, IEEE, article ""Real-time visual analysis of microvascular blood flow for critical care"", pages: 2015 2217 - 2225"
EP3716207A1,0,0,0,"MCILROY STUART ET AL: ""In vivo classification of inflammation in blood vessels with convolutional neural networks"", 2017 INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS (IJCNN), IEEE, 14 May 2017 (2017-05-14), pages 3022 - 3027, XP033112421, DOI: 10.1109/IJCNN.2017.7966231"
EP3716207A1,0,0,0,"OCAK ISIK ET AL: ""Monitoring microcirculation"", BAILLIERE'S BEST PRACTICE AND RESEARCH, CLINICAL ANESTHESIOLOGY, BAILLIERE TINDALL, LONDON, US, vol. 30, no. 4, 3 November 2016 (2016-11-03), pages 407 - 418, XP029841306, ISSN: 1521-6896, DOI: 10.1016/J.BPA.2016.10.008"
EP3716207A1,0,0,0,"SACHS MC: ""plotROC: A Tool for Plotting ROC Curves"", J STAT SOFTW, vol. 79, 2017, Retrieved from the Internet <URL:https://doi.org/10.18637/jss.v079.c02>"
EP3716207A1,0,0,0,"SINGER ET AL.: ""The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3"", JAMA, vol. 315, no. 8, 2016, pages 801 - 810, XP055456889, DOI: 10.1001/jama.2016.0287"
EP3716207A1,0,0,0,"UZ ZVAN GULIK TMAYDEMIRLI MGUERCI PINCE YCUPPEN DVERGIN BAKSU UDE MOL BA: ""Ince C Identification and quantification of human microcirculatory leukocytes using handheld video microscopes at the bedside"", J APPL PHYSIOL ., 8 March 2018 (2018-03-08)"
EP3716207A1,0,0,0,"VAN ELTEREN, H. A.INCE, C.TIBBOEL, D.REISS, I. K. M.DE JONGE, R. C. J.: ""Cutaneous microcirculation in preterm neonates: comparison between sidestream dark field (SDF) and incident dark field (IDF) imaging"", JOURNAL OF CLINICAL MONITORING AND COMPUTING, vol. 29, no. 5, 2015, pages 543 - 548, XP035545214, DOI: 10.1007/s10877-015-9708-5"
EP3716207A1,0,0,0,"WICKHAM H: ""ggplot2: Elegant Graphics for Data Analysis"", 2009, SPRINGER"
EP3731417A1,0,0,0,"EMMANUEL J CANDÃ S ET AL: ""Enhancing Sparsity by Reweighted l 1 Minimization"", JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS, BIRKHÄUSER-VERLAG, BO, vol. 14, no. 5-6, 15 October 2008 (2008-10-15), pages 877 - 905, XP019657474, ISSN: 1531-5851, DOI: 10.1007/S00041-008-9045-X"
EP3731417A1,0,0,0,"M. MANGIA ET AL., IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS-I: REGULAR PAPERS, vol. 59, no. 5, May 2012 (2012-05-01)"
