publication_number,patent_citation,publication_date,assignee,title
EP1911670A1,GB1357521A,1974-06-26,Dasic Equipment Ltd,Mounting means mounting a washing machine in a ship having a movable  hatch cover forming at least part of the top wall of a hold
EP1911670A1,US3937162A,1976-02-10,Kobe Steel Ltd.,Device for use in demolishing a consolidated and hardened slurry body remaining in the hold of an iron-ore carrier
EP1911670A1,US4286721A,1981-09-01,Simon Engineering Dudly Limited,Access equipment
EP1911670A1,EP0111015A1,1984-06-20,American Steamship Company,Cargo hold cleaning apparatus
EP1911670A1,EP0194926A1,1986-09-17,Chantiers Du Nord Et De La Mediterranee,Multiple purpose robot for treating the inside walls of containment chambers
EP2180957A1,US2012474A,1935-08-27,Budd Edward G Mfg Co,Wax applicator
EP2180957A1,US2962746A,1960-12-06,Pittsburgh Plate Glass Co,Paint applicator
EP2180957A1,US3484795A,1969-12-16,Wooster Brush Co The,Flat pad applicator
EP2180957A1,FR2094342A5,1972-02-04,Auvergne Gabriel,
EP2180957A1,DE2308253A1,1974-08-22,Friz & Wahl Gmbh Metallwarenfa,PAINT PILLOWS WITH GROOVED EDGE
EP2180957A1,US4012151A,1977-03-15,Spransy Brower C,Attachment for hand operated paint rollers
EP2180957A1,GB2090730A,1982-07-21,William Malcolm Edgar,Paint brush
EP2180957A1,US4852203A,1989-08-01,Labelle Charles E,Paint edger for the application of paint
EP2180957A1,US4856136A,1989-08-15,"Padco, Inc.",Flocked foam brush
EP2180957A1,AU3896693A,1993-11-08,Minipack Systems Limited,"Applicators, particularly for paints"
EP2180957A1,US5341538A,1994-08-30,Sun Stix Incorporated,Sun lotion applicator
EP2180957A1,DE9402464U1,1994-03-31,Rotaplast Werk Sauer Gmbh & Co,Spreading pillow device
EP2180957A1,DK9500108U3,1996-06-20,Fluegger As,Extension shaft with locking device for painting tools
EP2180957A1,US5842488A,1998-12-01,Belleau; Gary P.,Lotion applicator apparatus and method
EP2180957A1,US20050034261A1,2005-02-17,Capoccia John S.,Paint roller and kit
EP1990631A1,US20040012778A1,2004-01-22,Yong-Qing Li,Laser tweezers and raman spectroscopy systems and methods for the study of microscopic particles
EP1990631A1,US20060119853A1,2006-06-08,Mesophotonics Limited,Metal nano-void photonic crystal for enhanced raman spectroscopy
EP1990631A1,US20060164635A1,2006-07-27,Islam M Saif,Monolithic system and method for enhanced Raman spectroscopy
EP1990631A1,WO2006130728A2,2006-12-07,The Regents Of The University Of California,"Single-cell raman spectroscopy for the non-destructive, non-invasive analysis of cells and cellular components"
EP1990631A1,US7079240B2,2006-07-18,California Institute Of Technology,Photonic crystal laser sources for chemical detection
EP1990631A1,US7177021B2,2007-02-13,"Hewlett-Packard Development Company, L.P.","Integrated radiation sources and amplifying structures, and methods of using the same"
EP1995604A1,GB2102577A,1983-02-02,Indiana University Foundation,Two dimensional mapping using nuclear magnetic resonance
EP1995604A1,US4727325A,1988-02-23,"Hitachi, Ltd.",NMR imaging method
EP1995604A1,EP0256779A2,1988-02-24,The Board Of Trustees Of The Leland Stanford Junior University,Rapid NMR imaging system
EP1995604A1,US4728892A,1988-03-01,Shell Oil Company,NMR imaging of materials
EP1995604A1,WO1998012964A1,1998-04-02,Cho Zang Hee,Apparatus and method for silent magnetic resonance imaging with rotating gradient coil
EP1995604B1,GB2102577A,1983-02-02,Indiana University Foundation,Two dimensional mapping using nuclear magnetic resonance
EP1995604B1,US4728892A,1988-03-01,Shell Oil Company,NMR imaging of materials
EP1995604B1,US4727325A,1988-02-23,"Hitachi, Ltd.",NMR imaging method
EP1995604B1,US4748410A,1988-05-31,Stanford University,Rapid NMR imaging system
EP1995604B1,WO1998012964A1,1998-04-02,Cho Zang Hee,Apparatus and method for silent magnetic resonance imaging with rotating gradient coil
EP2064294A2,BE451094A,,,
EP2064294A2,GB578067A,1946-06-13,Du Pont,Improvements in or relating to cellulose derivatives
EP2064294A2,DE19805367A1,1999-08-12,Buna Sow Leuna Olefinverb Gmbh,Process for the production of starch esters
EP2064294A2,CA2454563A1,2003-01-30,Gerritdina Hendrika Van Geel-Schutten,Glucans and glucansucrases derived from lactic acid bacteria
