publication_number,patent_citation,publication_date,assignee,title
EP1911670A1,DE102017209312A1,2018-12-06,Stefan Vennemann,Apparatus and method for cleaning a ship's hold
EP2180957A1,0,0,0,0
EP1990631A1,KR101231455B1,2013-02-15,중앙대학교 산학협력단,Apparatus for bio material detecting
EP1990631A1,CN103487424A,2014-01-01,中国科学院长春光学精密机械与物理研究所,Method for realizing stimulated Raman detection based on photonic crystal defect mode
EP1990631A1,US10234428B2,2019-03-19,Reuven Gordon,Laser tweezer system for measuring acoustic vibrations of nanoparticles
EP1995604A1,EP2306402A1,2011-04-06,Soemar Emid,Exact image reconstruction method
EP1995604A1,NL1039690C2,2013-04-09,Soemar Emid,Method of recovering hyperpolarization in hp-mri experiments.
EP1995604B1,EP2306402A1,2011-04-06,Soemar Emid,Exact image reconstruction method
EP1995604B1,NL1039690C2,2013-04-09,Soemar Emid,Method of recovering hyperpolarization in hp-mri experiments.
EP2064294A2,EP2705099A4,2015-07-01,Kth Holding Ab,Oxygen barrier for packaging applications
EP2064294A2,CN103059148B,2016-01-20,玉林师范学院,Mechanical activation solid state reaction prepares the method for acetate starch
EP2064294A2,WO2015138283A1,2015-09-17,E. I. Du Pont De Nemours And Company,"Oxidized poly alpha-1,3-glucan as detergent builder"
EP2064294A2,CA2975280A1,2016-10-06,E I Du Pont De Nemours And Company,Oxidized dextran
EP2064294A2,WO2016160738A2,2016-10-06,E I Du Pont De Nemours And Company,Gelling dextran ethers
EP1992905A1,CN101813458A,2010-08-25,北京理工大学,Method and device for measuring optical axis and gap of lens group by differential confocal internal focusing method
EP1992905A1,EP2375217A3,2011-11-02,Fujifilm Corporation,Aspheric surface measuring apparatus
EP1992905A1,CN102519510A,2012-06-27,中国科学院上海光学精密机械研究所,Calibration device and calibration method of position sensitive sensor
EP1992905A1,CN104483099A,2015-04-01,中国科学院长春光学精密机械与物理研究所,Method for detecting image plane consistency of LFOV (large field of view) optical system
EP1992905A1,CN104482881A,2015-04-01,北京理工大学,Laser stimulated emission depletion (STED) and three-dimensional superresolving differential confocal imaging method and device
EP1992905A1,CN104976963A,2015-10-14,睿励科学仪器（上海）有限公司,"Method for rapid measurement of surface shape of object surface, and application thereof"
EP1992905A1,CN106052659A,2016-10-26,哈尔滨工业大学,Portable laser large-working distance auto-collimation device and method
EP1992905A1,CN109799595A,2019-05-24,长光华大基因测序设备（长春）有限公司,A kind of the inspection focus adjustment method and device of gene sequencer microcobjective
EP1992905A1,CN109883343A,2019-06-14,北京理工大学,Bilateral dislocation axial gaps of differential confocal lens set measurement method
EP1992905A1,CN109883358A,2019-06-14,北京理工大学,Bilateral dislocation differential confocal cylindrical curvature radius measurement method
EP1992905A1,CN109883356A,2019-06-14,北京理工大学,Bilateral dislocation differential confocal parabola vertex curvature radius measurement method
EP1992905A1,CN109883342A,2019-06-14,北京理工大学,Laterally subtract each other differential confocal microscope group gap measuring method
EP1992905A1,CN109883357A,2019-06-14,北京理工大学,Laterally subtract each other differential confocal parabola vertex curvature radius measurement method
EP1992905A1,CN109883340A,2019-06-14,北京理工大学,Laterally subtract each other differential confocal lens center thickness measurement method
EP1992905A1,CN109945803A,2019-06-28,北京理工大学,Laterally subtract each other laser differential confocal cylindrical curvature radius measurement method
EP1992905A1,CN109945804A,2019-06-28,北京理工大学,Laterally subtract each other differential confocal super-large curvature radius measuring method
EP1992905A1,CN109959349A,2019-07-02,北京理工大学,Laser differential confocal nuclear fusion pellet geometric parameter comprehensive measuring method and device
EP1992905A1,CN109990710A,2019-07-09,北京理工大学,Bilateral dislocation differential confocal target capsule of fusion geometric parameter comprehensive measuring method and device
EP1992905A1,CN109990732A,2019-07-09,北京理工大学,Laterally subtract each other differential confocal curvature radius measurement method
EP1992905A1,CN110044414A,2019-07-23,北京理工大学,Laterally subtract each other differential confocal interference element Multi-parameter Measurement Method and device
EP1992905A1,CN110044415A,2019-07-23,北京理工大学,Misplace differential confocal interference element Multi-parameter Measurement Method and device
EP1992905A1,WO2021143525A1,2021-07-22,哈尔滨工业大学,Transverse differential dark-field confocal microscopic measurement apparatus and method therefor
EP1992905A1,WO2021143527A1,2021-07-22,哈尔滨工业大学,Axial differential dark field confocal microscopic measurement device and method
EP1992905A1,CN113587843A,2021-11-02,中国科学院长春光学精密机械与物理研究所,Interference confocal measurement system and measurement method
EP1992905A1,US7990522B2,2011-08-02,Mitutoyo Corporation,Dynamic compensation of chromatic point sensor intensity profile data selection
EP1992905A1,NL1036683A1,2009-10-15,Asml Netherlands Bv,"Focus sensor, inspection apparatus, lithographic apparatus and control system."
EP1992905A1,EP2194357A1,2010-06-09,Leica Geosystems AG,Optical sensor element for a measuring device and coupling element for this containing measuring device unit
EP1992905A1,US7873488B2,2011-01-18,Mitutoyo Corporation,On-site calibration method and object for chromatic point sensors
EP1992905A1,KR101085014B1,2011-11-21,연세대학교 산학협력단,Optical surface measuring apparatus and method
EP1992905A1,US7876456B2,2011-01-25,Mitutoyo Corporation,Intensity compensation for interchangeable chromatic point sensor components
EP1992905A1,JP5553593B2,2014-07-16,キヤノン株式会社,"Surface shape measuring apparatus, surface shape measuring method, and optical element manufacturing method"
EP1992905A1,CN102147240B,2012-08-22,北京理工大学,Method and device for measuring multiple element parameters in differential con-focus interference manner
EP1992905A1,DE102011011065B4,2013-04-04,Luphos Gmbh,Method and device for the high-precision measurement of surfaces
EP1992905A1,KR101167614B1,2012-07-20,한국과학기술원,Apparatus and method for measuring blood flow
EP1992905A1,US9581556B1,2017-02-28,"Industrial Optical Measurement Systems, LLC",Laser probe for use in an inspection system
EP1992905A1,GB2508368B,2018-08-08,Lein Applied Diagnostics Ltd,Optical measurement apparatus and method of manufacturing the same
EP1992905A1,JP6119232B2,2017-04-26,株式会社ソシオネクスト,Distance measuring device and distance measuring method
EP1992905A1,TWI465683B,2014-12-21,Univ Nat Taiwan,Differential filtering chromatic confocal microscopic system
EP1992905A1,CN103630087B,2016-02-17,哈尔滨工业大学,Based on digital differential confocal measuring apparatus and the method for spatial translation conversion
EP1992905A1,DE102014007203A1,2015-11-19,Luphos Gmbh,Device and method for geometric measurement of an object
EP1992905A1,DE102014007201B4,2016-03-10,Luphos Gmbh,Device and method for geometric measurement of an object
EP1992905A1,JP6309366B2,2018-04-11,株式会社ホロン,Height measuring device and autofocus device in charged particle beam device
