publication_number,patent_citation,publication_date,assignee,title
EP3319457A1,CN108741085A,2018-11-06,暨南大学,Application of the pectin in preparing the functional food with fat-reducing effect
EP3188375A2,0,0,0,0
EP3188391B1,ES2829602T3,2021-06-01,Guangdong Oppo Mobile Telecommunications Corp Ltd,Resource allocation method and terminal
EP3188391B1,US20210328711A1,2021-10-21,Qualcomm Incorporated,Network coding based on feedback
EP3280786A1,EP3771739A1,2021-02-03,CEG Technology UK Limited,Method and an apparatus for dry processing hot coal and coke
EP3347857A1,0,0,0,0
EP3912998A2,CN106536556B,2020-02-07,生态学有限公司,Humanized antibodies that bind LGR5
EP3912998A2,US10745487B2,2020-08-18,Bionomics Limited,Method of treating cancer by administering an anti-LGR5 monoclonal antibody
EP3912998A2,EP3568158A4,2020-11-18,The Board of Trustees of the Leland Stanford Junior University,R-spondin (rspo) surrogate molecules
EP3912998A2,AU2018211985A1,2019-07-18,"Surrozen Operating, Inc.",Tissue-specific Wnt signal enhancing molecules and uses thereof
EP3912998A2,TW201920275A,2019-06-01,荷蘭商米樂斯股份有限公司,Antibodies that modulate a biological activity expressed by a Cell
EP3912998A2,EA202090004A1,2020-06-18,Мерус Н.В.,BSPECIFIC ANTIBODIES AGAINST PD-1 AND AGAINST TIM-3
EP3912998A2,WO2019031965A1,2019-02-14,Merus N.V.,Antibodies that bind egfr and cmet
EP3912998A2,CN113439089A,2021-09-24,美勒斯公司,Truncated multivalent multimers
EP3912998A2,US20220073649A1,2022-03-10,Merus N.V.,Mixed binding domains
EP3912998A2,TW202102544A,2021-01-16,日商小野藥品工業股份有限公司,Bispecific antibody
EP3912998A2,WO2021034194A2,2021-02-25,Merus N.V.,Treatment of cancer with a combination of an antibody that binds lgr5 and egfr and a topoisomerase i inhibitor.
EP3912998A2,WO2021255280A1,2021-12-23,Umc Utrecht Holding B.V.,Screening method for effective target - e3 ligase combinations
EP3912998A2,WO2021176034A1,2021-09-10,Umc Utrecht Holding B.V.,Membrane ubiquitin ligases to target protein degradation
EP3912998A2,WO2021215926A1,2021-10-28,Merus N.V.,Treatment of cancers with an antibody that binds lgr5 and egfr
EP3188375A3,0,0,0,0
EP3188391A1,WO2021211622A1,2021-10-21,Qualcomm Incorporated,Network coding based on feedback
EP3188391A1,ES2829602T3,2021-06-01,Guangdong Oppo Mobile Telecommunications Corp Ltd,Resource allocation method and terminal
EP3297724A2,US11042027B2,2021-06-22,King Abdullah University Of Science And Technology,Non thermal plasma surface cleaner and method of use
EP3297724A2,DE102017100161A1,2018-07-05,Cinogy Gmbh,Flat flexible support piece for a dielectrically impeded plasma treatment
EP3297724A2,DE102017116305A1,2019-01-24,Cinogy Gmbh,Plasma treatment device
EP3297724A2,NL2020126B1,2019-06-26,Plasmacure B V,EMC control for pulsed high voltage source of a plasma device for medical treatment
EP3297724A2,NL2021675B1,2020-05-07,Plasmacure B V,Driver circuit for a dielectric barrier discharge plasma treatment
EP3297724A2,KR102031713B1,2019-10-14,(주)에스제이글로벌,Plasma pad of wound area and plasma treatment device
EP3297724A2,DE102019006536B3,2020-12-31,Blv Licht- Und Vakuumtechnik Gmbh,Device and method for skin and in particular wound treatment using plasma
EP3335763A1,CN109499014A,2019-03-22,王世广,The production method of dress operation auxiliary device after a kind of gynecological tumor
EP3361873A1,JP6666491B1,2020-03-13,北海道電力株式会社,Greening control method
EP3365373A2,EP3574019A4,2021-03-03,"Surrozen, Inc.",Tissue-specific wnt signal enhancing molecules and uses thereof
EP3365373A2,CN106536556B,2020-02-07,生态学有限公司,Humanized antibodies that bind LGR5
EP3365373A2,US10745487B2,2020-08-18,Bionomics Limited,Method of treating cancer by administering an anti-LGR5 monoclonal antibody
EP3365373A2,EP3568158A4,2020-11-18,The Board of Trustees of the Leland Stanford Junior University,R-spondin (rspo) surrogate molecules
EP3365373A2,TW201920275A,2019-06-01,荷蘭商米樂斯股份有限公司,Antibodies that modulate a biological activity expressed by a Cell
EP3365373A2,EA202090004A1,2020-06-18,Мерус Н.В.,BSPECIFIC ANTIBODIES AGAINST PD-1 AND AGAINST TIM-3
EP3365373A2,WO2019031965A1,2019-02-14,Merus N.V.,Antibodies that bind egfr and cmet
EP3365373A2,CN113439089A,2021-09-24,美勒斯公司,Truncated multivalent multimers
EP3365373A2,US20220073649A1,2022-03-10,Merus N.V.,Mixed binding domains
EP3365373A2,TW202102544A,2021-01-16,日商小野藥品工業股份有限公司,Bispecific antibody
EP3365373A2,WO2021034194A2,2021-02-25,Merus N.V.,Treatment of cancer with a combination of an antibody that binds lgr5 and egfr and a topoisomerase i inhibitor.
EP3365373A2,WO2021255280A1,2021-12-23,Umc Utrecht Holding B.V.,Screening method for effective target - e3 ligase combinations
EP3365373A2,WO2021176034A1,2021-09-10,Umc Utrecht Holding B.V.,Membrane ubiquitin ligases to target protein degradation
EP3365373A2,WO2021215926A1,2021-10-28,Merus N.V.,Treatment of cancers with an antibody that binds lgr5 and egfr
EP3365373B1,CN106536556B,2020-02-07,生态学有限公司,Humanized antibodies that bind LGR5
EP3365373B1,US10745487B2,2020-08-18,Bionomics Limited,Method of treating cancer by administering an anti-LGR5 monoclonal antibody
EP3365373B1,EP3568158A4,2020-11-18,The Board of Trustees of the Leland Stanford Junior University,R-spondin (rspo) surrogate molecules
EP3365373B1,AU2018211985A1,2019-07-18,"Surrozen Operating, Inc.",Tissue-specific Wnt signal enhancing molecules and uses thereof
EP3365373B1,TW201920275A,2019-06-01,荷蘭商米樂斯股份有限公司,Antibodies that modulate a biological activity expressed by a Cell
EP3365373B1,EA202090004A1,2020-06-18,Мерус Н.В.,BSPECIFIC ANTIBODIES AGAINST PD-1 AND AGAINST TIM-3
EP3365373B1,WO2019031965A1,2019-02-14,Merus N.V.,Antibodies that bind egfr and cmet
EP3365373B1,CN113439089A,2021-09-24,美勒斯公司,Truncated multivalent multimers
EP3365373B1,US20220073649A1,2022-03-10,Merus N.V.,Mixed binding domains
EP3365373B1,TW202102544A,2021-01-16,日商小野藥品工業股份有限公司,Bispecific antibody
EP3365373B1,WO2021034194A2,2021-02-25,Merus N.V.,Treatment of cancer with a combination of an antibody that binds lgr5 and egfr and a topoisomerase i inhibitor.
EP3365373B1,WO2021255280A1,2021-12-23,Umc Utrecht Holding B.V.,Screening method for effective target - e3 ligase combinations
EP3365373B1,WO2021176034A1,2021-09-10,Umc Utrecht Holding B.V.,Membrane ubiquitin ligases to target protein degradation
EP3365373B1,WO2021215926A1,2021-10-28,Merus N.V.,Treatment of cancers with an antibody that binds lgr5 and egfr
EP3912998A3,CN106536556B,2020-02-07,生态学有限公司,Humanized antibodies that bind LGR5
EP3912998A3,US10745487B2,2020-08-18,Bionomics Limited,Method of treating cancer by administering an anti-LGR5 monoclonal antibody
EP3912998A3,EP3568158A4,2020-11-18,The Board of Trustees of the Leland Stanford Junior University,R-spondin (rspo) surrogate molecules
EP3912998A3,AU2018211985A1,2019-07-18,"Surrozen Operating, Inc.",Tissue-specific Wnt signal enhancing molecules and uses thereof
EP3912998A3,TW201920275A,2019-06-01,荷蘭商米樂斯股份有限公司,Antibodies that modulate a biological activity expressed by a Cell
EP3912998A3,EA202090004A1,2020-06-18,Мерус Н.В.,BSPECIFIC ANTIBODIES AGAINST PD-1 AND AGAINST TIM-3
EP3912998A3,WO2019031965A1,2019-02-14,Merus N.V.,Antibodies that bind egfr and cmet
EP3912998A3,CN113439089A,2021-09-24,美勒斯公司,Truncated multivalent multimers
EP3912998A3,US20220073649A1,2022-03-10,Merus N.V.,Mixed binding domains
EP3912998A3,TW202102544A,2021-01-16,日商小野藥品工業股份有限公司,Bispecific antibody
