publication_number,patent_citation,publication_date,assignee,title
EP1121702A1,0,0,0,See references of WO0113400A1
EP1229999A1,0,0,0,See references of WO0117666A1
EP1036977A1,0,0,0,0
EP1081618A2,0,0,0,No Search
EP1159856A1,0,0,0,See references of WO0052969A1
EP1036977B1,0,0,0,0
EP1159856B1,0,0,0,0
EP1229999B1,0,0,0,0
EP1142254A1,0,0,0,See references of WO0042756A1
EP1346323A1,0,0,0,See references of WO0248967A1
EP1234085A1,0,0,0,See references of WO0136770A1
EP1026328A2,0,0,0,0
EP1026328B1,0,0,0,0
EP1028117A2,0,0,0,"OVERKLEEFT H S ET AL: ""Design and Synthesis of a Protein:Farnesyltransferase Inhibitor based on Sugar Amino Acids"" TETRAHEDRON LETTERS,NL,ELSEVIER SCIENCE PUBLISHERS, AMSTERDAM, vol. 40, no. 21, 21 May 1999 (1999-05-21), pages 4103-4106, XP004164623 ISSN: 0040-4039"
EP1028117A2,0,0,0,"Y.QUIAN ET AL.: ""DESIGN A. STRUCTURAL REQUIREMENTS OF POTENT PEPTIDOMIMETIC INHIBITORS OF P21 FARNESYLTRANSFERASE"" JOURNAL OF BIOLOGICAL CHEMISTRY., vol. 269, no. 17, 29 April 1994 (1994-04-29), pages 12410-12413, XP002140402 AMERICAN SOCIETY OF BIOLOGICAL CHEMISTS, BALTIMORE, MD., US ISSN: 0021-9258"
EP1028117B1,0,0,0,0
EP1039056A1,0,0,0,0
EP1080643B1,0,0,0,0
EP1082765B1,0,0,0,0
EP1082765B2,0,0,0,"MARTIN ET AL: """"High Power White LED Technology for Solid State Lighting"",Presentation"", PROC. SPIE, July 2001 (2001-07-01), SAN DIEGO, CA
                      
                      †"
EP1082765B2,0,0,0,"STEIGERWALD ET AL: ""Illumination With Solid State Lighting Technology"", IEEE J. SELECT. TOPICS QE, vol. 8, no. 2, March 2002 (2002-03-01), pages 310 - 320
                      
                      †"
EP1110413A1,0,0,0,See references of WO0078055A1
EP1116511A1,0,0,0,0
EP1135846A1,0,0,0,See references of WO0118944A1
EP1144201A1,0,0,0,See references of WO0043216A1
EP1153158A1,0,0,0,See references of WO0043572A1
EP1153239B1,0,0,0,0
EP1159755A1,0,0,0,See references of WO0054310A1
EP1171173A1,0,0,0,See references of WO0061203A1
EP1171173B1,0,0,0,0
EP1183188A1,0,0,0,See references of WO0071426A1
EP1186571A1,0,0,0,0
EP1191908B1,0,0,0,0
EP1197915A1,0,0,0,0
EP1198576A1,0,0,0,See references of WO0109359A1
EP1200117A2,0,0,0,See references of WO0100220A2
EP1200552B1,0,0,0,0
EP1213955B1,0,0,0,0
EP1214308A2,0,0,0,See references of WO0121608A2
EP1217074A1,0,0,0,"BOULTON S J ET AL: ""Components of the Ku-dependent non-homologous end-joining pathway are involved in telomeric length maintenance and telomeric silencing."", EMBO (EUROPEAN MOLECULAR BIOLOGY ORGANIZATION) JOURNAL, vol. 17, no. 6, 16 March 1998 (1998-03-16), pages 1819 - 1828, XP002170161, ISSN: 0261-4189"
EP1217074A1,0,0,0,"BRESSAN D A ET AL: ""The Mre11-Rad50-Xrs2 protein complex facilitates homologous recombination-based double-strand break repair in Saccharomyces cerevisiae."", MOLECULAR AND CELLULAR BIOLOGY, vol. 19, no. 11, November 1999 (1999-11-01), pages 7681 - 7687, XP002170163, ISSN: 0270-7306"
EP1217074A1,0,0,0,"BUNDOCK P ET AL: ""TRANS-KINGDOM T-DNA TRANSFER FROM AGROBACTERIUM TUMEFACIENS TO SACCHOROMYCES CEREVISIAE"", EMBO JOURNAL,GB,OXFORD UNIVERSITY PRESS, SURREY, vol. 14, no. 13, 3 July 1995 (1995-07-03), pages 3206 - 3214, XP000675831, ISSN: 0261-4189"
EP1217074A1,0,0,0,"DATABASE SWALL EMBL; 1 November 1999 (1999-11-01), HARTUNG F AND PUCHTA H: ""Isolation of the complete cDNA of the Mre11 homologue of Arabidopsis thaliana indicates conservation of DNA recombination mechanisms between plants and other eucaryotes"", XP002170167"
EP1217074A1,0,0,0,"DATABASE SWALL EMBL; 1 October 2000 (2000-10-01), WEST C E ET AL.: ""Arabidopsis thaliana ligase IV homologue is induced by gamma isrradiation and interacts with an Arabidopsis homolog of the double strand break repair protein XRCC4"", XP002170168"
EP1217074A1,0,0,0,"GALLEGO M E ET AL: ""The Rad50 homolog of Arabidopsis"", EMBL NUCLEOTIDE SEQUENCE, 3 March 2000 (2000-03-03), pages 1 - 5, XP002150323"
EP1217074A1,0,0,0,"TEO S-H AND JACKSON S P: ""Identification of Saccharomyces cerevisiae DNA ligase IV: Involvement in DNA double-strand break repair."", EMBO (EUROPEAN MOLECULAR BIOLOGY ORGANIZATION) JOURNAL, vol. 16, no. 15, 1997, pages 4788 - 4795, XP002170164, ISSN: 0261-4189"
EP1217074A1,0,0,0,"TSUKAMOTO Y ET AL: ""EFFECTS OF MUTATIONS OF RAD50, RAD51, RAD52, AND RELATED GENES ON ILLEGITIMATE RECOMBINATION IN SACCHAROMYCES CEREVISIAE"", GENETICS,GENETICS SOCIETY OF AMERICA, AUSTIN, TX,US, vol. 142, February 1996 (1996-02-01), pages 383 - 391, XP000864573, ISSN: 0016-6731"
EP1217074A1,0,0,0,"TSUKAMOTO Y ET AL: ""Hdf1, a yeast Ku-protein homologue, is involved in illegitimate recombination, but not in homologous recombination."", NUCLEIC ACIDS RESEARCH, vol. 24, no. 11, 1996, pages 2067 - 2072, XP002170162, ISSN: 0305-1048"
EP1217074A1,0,0,0,"TSUKAMOTO Y ET AL: ""Silencing factors participate in DNA repair and recombination in Saccharomyces cerevisiae."", NATURE (LONDON), vol. 388, no. 6645, 1997, pages 900 - 903, XP002170165, ISSN: 0028-0836"
EP1217074A1,0,0,0,"VERGUNST A C ET AL: ""VirB/D4-dependent protein translocation from Agrobacterium into plant cells."", SCIENCE (WASHINGTON D C), vol. 290, no. 5493, 2000, pages 979 - 982, XP002170166, ISSN: 0036-8075"
EP1221965A1,0,0,0,See references of WO0124813A1
EP1226401A1,0,0,0,See references of WO0133161A1
EP1226401B1,0,0,0,0
EP1231928A2,0,0,0,See references of WO0134170A2
EP1237587A1,0,0,0,See references of WO0139811A1
EP1240310B1,0,0,0,"BARTELING S.J. AND WOORTMEYER R., ARCHIVES OF VIROLOGY, vol. 80, 1984, pages 103 - 117"
EP1242983B1,0,0,0,0
EP1252649A2,0,0,0,See references of WO0042638A2
EP1257425A2,0,0,0,See references of WO0134409A3
EP1257425B1,0,0,0,0
EP1263946A2,0,0,0,See references of WO0146406A3
EP1266768B1,0,0,0,0
EP1026328A3,0,0,0,0
EP1028117A3,0,0,0,"OVERKLEEFT H S ET AL: ""Design and Synthesis of a Protein:Farnesyltransferase Inhibitor based on Sugar Amino Acids"", TETRAHEDRON LETTERS,NL,ELSEVIER SCIENCE PUBLISHERS, AMSTERDAM, vol. 40, no. 21, 21 May 1999 (1999-05-21), pages 4103 - 4106, XP004164623, ISSN: 0040-4039"
EP1028117A3,0,0,0,"Y.QUIAN ET AL.: ""DESIGN A. STRUCTURAL REQUIREMENTS OF POTENT PEPTIDOMIMETIC INHIBITORS OF P21 FARNESYLTRANSFERASE"", JOURNAL OF BIOLOGICAL CHEMISTRY., vol. 269, no. 17, 29 April 1994 (1994-04-29), AMERICAN SOCIETY OF BIOLOGICAL CHEMISTS, BALTIMORE, MD., US, pages 12410 - 12413, XP002140402, ISSN: 0021-9258"
EP1028216A2,0,0,0,0
EP1028216A3,0,0,0,0
EP1059299B1,0,0,0,"ELLIS W.W. ET AL: ""Synthesis, Structure and Properties of Chiral Titanium and Zirconium Complexes Bearing Biaryl Strapped Substituted Cyclopentadienyl Ligands"", ORGANOMETALLICS, vol. 12, 1993, pages 4391 - 4401"
EP1081618A3,0,0,0,No Search
EP1082765A1,0,0,0,See references of WO0055925A1
EP1090909A1,0,0,0,"CHEMICAL ABSTRACTS, vol. 68, no. 15, 8 April 1968, Columbus, Ohio, US; abstract no. 69322c, HANS JESCHKEIT: ""Peptide syntheses with N-hydroxyglutarimide esters"" page 6709; column 1; XP002156049"
EP1090909A1,0,0,0,"CHEMICAL ABSTRACTS, vol. 70, no. 9, 3 March 1969, Columbus, Ohio, US; abstract no. 38090n, PINELLI C. ET AL.: ""Synthesis of Beta-alanine petides."" page 390; column 1; XP002156048"
EP1090909A1,0,0,0,"DANIELE M. LEONARD: ""Ras farnesyltransferase: A new therapeutic target"", JOURNAL OF MEDICINAL CHEMISTRY., vol. 40, no. 19, 12 September 1997 (1997-09-12), WASHINGTON US, pages 2971 - 2990, XP002130047"
EP1090909A1,0,0,0,"FARMACO, ED. SCI., vol. 23, no. 9, 1968, pages 859 - 869"
EP1090909A1,0,0,0,"KRYSTYNA MIDURA-NOWACZEK ET AL.: ""Relation between the structure and antifibrinolytic activity of peptides containing E-aminocaproic acid"", ACTA POL. PHARM., vol. 47, no. 5-6, 1990, pages 31 - 33, XP000926094"
EP1090909A1,0,0,0,"LEONARD D M ET AL: ""HISTIDINE-(N-BENZYLGLYCINAMIDES): STRUCTURE-ACTIVITY STUDIES OPTIMIZING POTENCY AGAINST RAS FARNESYL TRANSFERASE"", PROCEEDINGS OF THE ANNUAL MEETING OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,US,PHILADELPHIA, AACR, vol. 38, 12 April 1997 (1997-04-12), pages 350, XP002064323"
EP1090909A1,0,0,0,"OVERKLEEFT H S ET AL: ""Design and Synthesis of a Protein:Farnesyltransferase Inhibitor based on Sugar Amino Acids"", TETRAHEDRON LETTERS,NL,ELSEVIER SCIENCE PUBLISHERS, AMSTERDAM, vol. 40, no. 21, May 1999 (1999-05-01), pages 4103-4106, XP004164623, ISSN: 0040-4039"
EP1090909A1,0,0,0,"Z. CHEM., vol. 8, no. 1, 1968, pages 20 - 21"
EP1114797A1,0,0,0,0
EP1118860A1,0,0,0,"A J A M SIJTS, M L H DE BRUIJN, M E RESSING, J D NIELAND, E A M MENGEDE, C J P BOOG, F OSSENDORP, W M KAST, C J M MELIEF: ""Identification of an H-2 K-b-presented Moloney murine leukemia virus cytotoxic T-lymphocyte epitope that displays enhanced recognition in H-2 D-b mutant bm13 mice"", JOURNAL OF VIROLOGY, vol. 68, no. 9, September 1994 (1994-09-01), pages 6038 - 6046, XP002143797"
EP1118860A1,0,0,0,"A NEISIG, J ROELSE, A J A M SIJTS. F OSSENDORP, M C W FELTKAMP, W M KAST, C J M MELIEF, J J NEEFJES: ""Major Differences in Transporter Associated with Antigen (TAP)-Dependent Translocation of MHC Class I-Presentable Peptides and the Effect of Flanking Sequences"", JOURNAL OF IMMUNOLOGY, vol. 154, 1995, pages 1273 - 1279, XP002143798"
EP1118860A1,0,0,0,"COUX OLIVIER; TANAKA KEIJI; GOLDBERG ALFRED L: ""Structure and functions of the 20S and 26S proteasomes"", ANNUAL REVIEW OF BIOCHEMISTRY, vol. 65, 1996, pages 801 - 847, XP000925558"
EP1118860A1,0,0,0,"DICK LAWRENCE R; ALDRICH CARLA ET AL.: ""Proteolytic processing of ovalbumin and beta-galactosidase by the proteasome to yield antigenic peptides"", JOURNAL OF IMMUNOLOGY, vol. 152, 1994, pages 3884 - 3894, XP002143799"
EP1118860A1,0,0,0,"KIRKIN ALEXEI F; DZHANDZHUGAZYAN KARINE; ZEUTHEN JESPER: ""The immunogenic properties of melanoma-associated antigens recognized by cytotoxic T lymphocytes"", EXPERIMENTAL AND CLINICAL IMMUNOGENETICS, vol. 15, April 1998 (1998-04-01), pages 19 - 32, XP000925662"
EP1118860A1,0,0,0,"LUCCHIARI-HARTZ MARIA; VAN ENDERT PETER M; LAUVAU GREGOIRE ET AL.: ""Cytotoxic T lymphocyte epitopes of HIV-1 Nef: Generation of multiple definitive major histocompatibility complex class I ligands by proteasomes"", JOURNAL OF EXPERIMENTAL MEDICINE, vol. 191, 17 January 2000 (2000-01-17), pages 239 - 252, XP000925736"
EP1118860A1,0,0,0,"ROCK KENNETH L; GOLDBERG ALFRED L: ""Degradation of cell proteins and the generation of MHC class I-presented peptides"", ANNUAL REVIEW OF IMMUNOLOGY, vol. 17, 1999, pages 739 - 779, XP000925560"
