publication_number,patent_citation,publication_date,assignee,title
EP3531191A1,CN111913313A,2020-11-10,南昌大学,Parameter-adjustable axial cosine structure light generation device and method
EP3531191A1,EP3786713A1,2021-03-03,ASML Netherlands B.V.,Metrology method and device for determining a complex-valued field
EP3531191A1,US11119415B2,2021-09-14,Asml Netherlands B.V.,"Method of determining a characteristic of a structure, and metrology apparatus"
EP3531191A1,NL2021852A,2018-11-09,Asml Netherlands Bv,Metrology apparatus and method for determining a characteristic of one or more structures on a substrate
EP3533900A1,EP3722457A1,2020-10-14,ASML Netherlands B.V.,Method and apparatus for forming a patterned layer of material
EP3605230A1,0,0,0,0
EP3782120A2,0,0,0,0
EP3406159A1,WO2020162847A1,2020-08-13,GüL HASAN,A cardholder with a movable slide
EP3406159A1,US10793342B2,2020-10-06,John Minson,Credit card dispenser
EP3600546A1,0,0,0,0
EP3681840A1,0,0,0,0
EP3720597A1,WO2021099577A1,2021-05-27,Stichting Voor De Technische Wetenschappen,Macromolecular compositions for binding small molecules
EP3720597A1,WO2021099578A1,2021-05-27,Stichting Voor De Technische Wetenschappen,Porous membranes comprising sorbent particles for improved urea capture
EP3720597A1,ES2847279A1,2021-08-02,Univ Burgos,"Copolymers with a structure derived from ninhydrin, films or membranes obtained from them and their use (Machine-translation by Google Translate, not legally binding)"
EP3596397A1,US20220002985A1,2022-01-06,Kohler Co.,Recirculating shower system
EP3596397B1,US20220002985A1,2022-01-06,Kohler Co.,Recirculating shower system
EP3410598B1,0,0,0,0
EP3487152A1,0,0,0,0
EP3493541A3,0,0,0,0
EP3557325A1,WO2020198404A1,2020-10-01,"Virginia Tech Intellectual Properties, Inc.",Synthesis and 3d printing of photocurable colloids
EP3563574A1,US10937460B2,2021-03-02,Apple Inc.,Media files and protocols supporting runtime dependent tracks
EP3563574A1,EP3497909A1,2019-06-19,Telefonaktiebolaget LM Ericsson (publ),Improved adaptive bit rate streaming of live content with manifest update push notification or long poll
