publication_number,patent_citation,publication_date,assignee,title
EP3364205A1,GB2594686A,2021-11-10,Tesla Dynamic Coils BV,MRI apparatus
EP3351955A1,0,0,0,0
EP3410211A1,US10670974B2,2020-06-02,Asml Netherlands B.V.,Metrology apparatus for and a method of determining a characteristic of interest of a structure on a substrate
EP3410211A1,EP3686673A1,2020-07-29,ASML Netherlands B.V.,Wavefront sensor and associated metrology apparatus
EP3410211A1,EP3783439A1,2021-02-24,ASML Netherlands B.V.,Metrology device and detection apparatus therefor
EP3410211A1,EP3964809A1,2022-03-09,Stichting VU,"Wavefront metrology sensor and mask therefor, method for optimizing a mask and associated apparatuses"
EP3487294A1,EP3772285A1,2021-02-10,Air Liquide Deutschland GmbH,Pulverization of a substance
EP3547935A1,CN111407346B,2020-12-22,王建龙,Intestinal closure device
EP3717692B1,0,0,0,0
EP3484272B8,NL1042141B1,2018-05-24,Hijdra Retail Services B V,"WASHED FLOWER BALL, METHOD AND MACHINE FOR WASHING"
EP3554634A2,CN109499014B,2021-03-23,王世广,Method for manufacturing gynecological tumor after-loading operation auxiliary device
EP3717692A1,0,0,0,0
EP3376120A1,US20220002985A1,2022-01-06,Kohler Co.,Recirculating shower system
EP3205377A1,0,0,0,0
EP3231303A1,CN108677366A,2018-10-19,绍兴必安防护科技有限公司,A kind of preparation method of shellproof anti-cutting inflaming retarding fabric
EP3231303A1,CN110791860A,2020-02-14,斓帛职业培训学校(桐乡)有限公司,Double-sided knitted fabric capable of being added with special functional yarn and weaving method thereof
EP3231303A1,WO2021070264A1,2021-04-15,株式会社マルイチ,Laceration preventing protective material and laceration prevention equipment
EP3231303A1,WO2021221040A1,2021-11-04,マルイチ エアリアル エンジニア株式会社,Laceration preventing protective material and laceration prevention equipment
EP3231303A1,CN110656428B,2021-01-05,斓帛职业培训学校(桐乡)有限公司,Oblique weft insertion weave and weaving method thereof
EP3327197A1,CN110080104A,2019-08-02,北京智华通科技有限公司,A kind of concrete-bridge surface layer structure and paving method
EP3399949A1,US11028502B2,2021-06-08,Wake Forest University Health Sciences,Vascular constructs
EP3403507B1,0,0,0,0
EP3414574A2,0,0,0,0
EP3414738A1,WO2017137435A1,2017-08-17,Koninklijke Philips N.V.,"Device, system and method for skin detection"
EP3414738A1,CN109864740B,2022-02-01,北京津发科技股份有限公司,Surface electromyogram signal acquisition sensor and equipment in motion state
EP3414738A1,CN112037162A,2020-12-04,华为技术有限公司,Facial acne detection method and equipment
EP3414738A1,CN112336318B,2022-02-18,复旦大学,Pulse position accurate positioning method for self-adaptive multi-mode fusion
EP3414738A1,CN110859615B,2020-07-31,电子科技大学,Amplitude permutation-based physiological signal time irreversible analysis method
EP3426784A1,US11091756B2,2021-08-17,Blueallele Corporation,Methods for targeted insertion of dna in genes
EP3426784A1,WO2019227080A1,2019-11-28,"Locus Biosciences, Inc.",Methods and compositions for killing a target bacterium
EP3426784A1,GB201809709D0,2018-08-01,Stichting Wageningen Res,Polynucleotide constructs and methods of gene editing using CPF1
EP3426784A1,CN113015798A,2021-06-22,中国农业大学,CRISPR-Cas12a enzymes and systems
EP3432986A1,0,0,0,0
EP3436598A1,0,0,0,0
EP3456029A1,US20190158621A1,2019-05-23,Koninklijke Kpn N.V.,Auctioning the serving and/or caching of a data object
EP3463563A1,EP3697495A1,2020-08-26,"Medtronic, Inc.",His bundle and bundle branch pacing adjustment
EP3463563A1,US11191969B2,2021-12-07,"Medtronic, Inc.",Adaptive cardiac resynchronization therapy using a single multi-electrode coronary sinus lead
EP3463563A1,US11235158B2,2022-02-01,"Pacesetter, Inc.",Method and system for biventricular or left ventricular pacing
EP3463563A1,US20200196892A1,2020-06-25,"Medtronic, Inc.",Propagation patterns method and related systems and devices
EP3463563A1,CN110367968A,2019-10-25,广州视源电子科技股份有限公司,"A kind of right bundle branch block detection method, device, equipment and storage medium"
EP3472179A1,EP3464336B1,2022-03-16,"Athira Pharma, Inc.",Compounds
EP3472179A1,CN108070021B,2021-06-15,中南民族大学,Small molecular peptide capable of being assembled into highly ordered nanofiber and method for assembling and constructing highly ordered nanofiber
EP3474901A1,EP3787691A1,2021-03-10,Tagworks Pharmaceuticals B.V.,Tetrazines for high click conjugation yield in vivo and high click release yield
EP3474901A1,WO2021035188A1,2021-02-25,"AskGene Pharma, Inc.",Novel il-21 prodrugs and methods of use thereof
EP3474901A1,WO2022038183A1,2022-02-24,Rigshospitalet,Extracorporeal clearing traps based on inverse electron demand diels-alder cycloaddition for (pre)-targeted therapy and diagnostics
EP3474901A1,WO2022047054A2,2022-03-03,The Texas A&M University System,Inhibitors of sars cov-2 infection and uses thereof
EP3478517B1,US10384488B2,2019-08-20,Mark Henry Peterman,Multiple layer foam insert for tires
EP3478517B1,WO2019212489A1,2019-11-07,Mark Henry Peterman,Multi-element foam insert for tires
EP3484700A1,CN110406217A,2019-11-05,孙雨佳,A kind of fire-resistance wall cloth
EP3485643A1,US10742999B2,2020-08-11,Mediatek Inc.,Methods and apparatus for signaling viewports and regions of interest
EP3485643A1,KR20180101123A,2018-09-12,에스케이텔레콤 주식회사,Apparatus and Method for Video Encoding or Decoding
EP3485643A1,US10679636B2,2020-06-09,"Ribbon Communications Operating Company, Inc.","Methods and apparatus for supporting encoding, decoding and/or transcoding of content streams in a communication system"
EP3485643A1,EP3854100A1,2021-07-28,Sharp Kabushiki Kaisha,Systems and methods for signaling parameters in video coding
EP3485643A1,US11140403B2,2021-10-05,Tencent America LLC,Identifying tile from network abstraction unit header
EP3485643A1,WO2020127226A1,2020-06-25,Koninklijke Kpn N.V.,Streaming volumetric and non-volumetric video
EP3485643A1,CN111835994A,2020-10-27,瑞昱半导体股份有限公司,Multi-channel video processing method and system
EP3485643A1,WO2021034238A1,2021-02-25,Telefonaktiebolaget Lm Ericsson (Publ),Methods and devices for handling media data streams
EP3485643A1,WO2021061392A1,2021-04-01,"Futurewei Technologies, Inc.",Error mitigation for sublayers in video coding
EP3485643A1,CN110636372B,2022-02-25,未来电视有限公司,"Video decoding method, video playing device, electronic equipment and storage medium"
EP3485643A1,US20210266599A1,2021-08-26,Tencent America LLC,Techniques for signaling and identifying access unit boundaries
EP3485646A1,EP3535644A1,2019-09-11,Koninklijke KPN N.V.,Streaming virtual reality video
EP3485646A1,EP3560205B1,2021-02-17,Koninklijke KPN N.V.,Synchronizing processing between streams
EP3485646A1,EP3769514A2,2021-01-27,"Huawei Technologies Co., Ltd.",Immersive media metrics for display information
EP3485646A1,US10812828B2,2020-10-20,"At&T Intellectual Property I, L.P.",System and method for segmenting immersive video
EP3485646A1,US11232532B2,2022-01-25,Sony Interactive Entertainment LLC,Multi-server cloud virtual reality (VR) streaming
EP3485646A1,US10623791B2,2020-04-14,"At&T Intellectual Property I, L.P.",Field of view prediction in live panoramic video streaming
EP3485646A1,US10812774B2,2020-10-20,"At&T Intellectual Property I, L.P.",Methods and devices for adapting the rate of video content streaming
EP3485646A1,US10616621B2,2020-04-07,"At&T Intellectual Property I, L.P.",Methods and devices for determining multipath routing for panoramic video content
EP3485646A1,US10708494B2,2020-07-07,"At&T Intellectual Property I, L.P.","Methods, systems and devices for adjusting panoramic video content"
EP3485646A1,US11019361B2,2021-05-25,"At&T Intellectual Property I, L.P.","Methods, systems and devices for adjusting panoramic view of a camera for capturing video content"
EP3485646A1,US11032590B2,2021-06-08,"At&T Intellectual Property I, L.P.","Methods, devices, and systems for providing panoramic video content to a mobile device from an edge server"
EP3485646A1,TWI674780B,2019-10-11,財團法人工業技術研究院,Network service system and network service method
EP3485646A1,TWI675572B,2019-10-21,財團法人工業技術研究院,Network service system and network service method
EP3485646A1,US10939139B2,2021-03-02,Apple Inc.,Adaptive coding and streaming of multi-directional video
EP3485646A1,GB2580667A,2020-07-29,Sony Corp,"A method, device and computer program"
EP3485646A1,US11075971B2,2021-07-27,Evertz Microsystems Ltd.,Systems and methods for operating a media transmission network
EP3485646A1,CN111935557A,2020-11-13,华为技术有限公司,"Video processing method, device and system"
EP3485646A1,US11195498B2,2021-12-07,"Charter Communications Operating, Llc",Compensating for latency in a streaming virtual reality environment
EP3485646A1,GB2594714A,2021-11-10,Createc Robotics Ltd,Virtual view generation
EP3485646A1,KR20220017067A,2022-02-11,삼성전자주식회사,Apparatus and method for controlling network for data communication in electronic device
EP3498170A1,US10295485B2,2019-05-21,"Sigray, Inc.",X-ray transmission spectrometer system
EP3498170A1,US10845491B2,2020-11-24,"Sigray, Inc.",Energy-resolving x-ray detection system
EP3498170A1,CN112470245A,2021-03-09,斯格瑞公司,High brightness X-ray reflection source
EP3498170A1,CN112823280A,2021-05-18,斯格瑞公司,System and method for depth-selectable X-ray analysis
EP3498170A1,US11217357B2,2022-01-04,"Sigray, Inc.",X-ray mirror optics with multiple hyperboloidal/hyperbolic surface profiles
EP3498889A1,0,0,0,0
EP3501433A1,0,0,0,0
EP3504431B1,0,0,0,0
EP3526532A2,0,0,0,0
EP3526972A1,US11005928B2,2021-05-11,Sap Se,Resilience in natively non-high availability services
