publication_number,patent_citation,publication_date,assignee,title
EP3910111A1,JP2013032623A,2013-02-14,Shinji Nagaoka,Bank device or bank structure employing bank device
EP3910357A2,US5185576A,1993-02-09,General Electric Company,Local gradient coil
EP3910357A2,GB9311321D0,1993-07-21,British Tech Group,Apparatus for and methods of acoustic and magnetic screening
EP3910357A2,DE102004005005B4,2007-11-22,Forschungszentrum Jülich GmbH,Imaging methods and apparatus based on self-similar area or space filling curves
EP3910357A2,US8339138B2,2012-12-25,University Of Utah Research Foundation,Dynamic composite gradient systems for MRI
EP3910357A2,EP3364205A1,2018-08-22,"MR Coils, BV",Method and apparatus for ultrasonic gradients in magnetic resonance imaging
EP3910357A2,CN108872898B,2021-02-09,上海联影医疗科技股份有限公司,Magnetic resonance imaging system and magnetic resonance imaging method
EP3910357A3,US5185576A,1993-02-09,General Electric Company,Local gradient coil
EP3910357A3,US5764059A,1998-06-09,British Technology Group Limited,Acoustic screen
EP3910357A3,US20100102815A1,2010-04-29,University Of Utah,Dynamic composite gradient systems for mri
EP3910357A3,EP3364205A1,2018-08-22,"MR Coils, BV",Method and apparatus for ultrasonic gradients in magnetic resonance imaging
EP3910357A3,DE102004005005B4,2007-11-22,Forschungszentrum Jülich GmbH,Imaging methods and apparatus based on self-similar area or space filling curves
EP3910357A3,CN108872898B,2021-02-09,上海联影医疗科技股份有限公司,Magnetic resonance imaging system and magnetic resonance imaging method
EP3851372A1,WO2005094646A1,2005-10-13,"B E Aerospace, Inc.",Conduction oven for food thermalization
EP3851372A1,GB2570907A,2019-08-14,Bohanna Zuzana,Storage container and system
EP3851580A1,EP1897994A2,2008-03-12,Zoontjens Beton B.V.,Assembly and method for forming a floor
EP3851580A1,EP3507420A1,2019-07-10,Zoontjens Beton B.V.,System and method for forming a tiled floor
EP3852287A1,US20150303568A1,2015-10-22,Apple Inc.,Antennas for Near-Field and Non-Near-Field Communications
EP3852287A1,US20170279543A1,2017-09-28,Koninklijke Philips N.V.,Body coupled communication devices and systems as well as a design tool and method for designing the same
EP3852287A1,US20200006851A1,2020-01-02,Nxp B.V.,Near-field electromagnetic induction (nfemi) antenna
EP3852287A1,US8970501B2,2015-03-03,Apple Inc.,Proximity and multi-touch sensor detection and demodulation
EP3852287A1,JP4605201B2,2011-01-05,ソニー株式会社,Communication device
EP3852287A1,JP4645698B2,2011-03-09,ソニー株式会社,Wireless communication device and power receiving device
EP3852287A1,JP5677875B2,2015-02-25,日立マクセル株式会社,Non-contact power transmission system
EP3852287A1,FR2985346B1,2014-09-19,Inside Secure,"METHOD OF COMMUNICATING BETWEEN A NFC CARD WITH CONTACTLESS CONTACTLESS CONTACTLESS INTERFACE INSERTED IN AN NFC TERMINAL, AND AN NFC DEVICE"
EP3852287A1,US9262651B2,2016-02-16,Cirque Corporation,Method for preventing unintended contactless interaction when performing contact interaction
EP3852287A1,CN103259569B,2015-04-22,深圳市汇顶科技股份有限公司,Touch terminals and near-field communication method and system thereof
EP3852287A1,JP6351241B2,2018-07-04,キヤノン株式会社,"System, image processing apparatus, and control method"
EP3852287A1,KR20170086943A,2017-07-27,한국전자통신연구원,Human body communication system using adaptive channel apparatus
EP3852287A1,JP6643152B2,2020-02-12,京セラ株式会社,Electronics
EP3852287A1,US10862594B2,2020-12-08,Sony Corporation,Communication apparatus and communication system
EP3852287A1,FR3062937A1,2018-08-17,Stmicroelectronics (Rousset) Sas,ACTIVATION OF AN NFC DEVICE
EP3852287A1,US10347973B2,2019-07-09,Nxp B.V.,Near-field electromagnetic induction (NFEMI) antenna
EP3852287A1,US10622729B2,2020-04-14,Nxp B.V.,Near-field antenna
EP3852287A1,US10566690B1,2020-02-18,"Nxp Usa, Inc.",Near-field induction voltage boost circuit
EP3852287A1,US10277284B1,2019-04-30,Nxp B.V.,Near-field device
EP3852287A1,US10491270B1,2019-11-26,Nxp B.V.,Near-field device
EP3852287A1,US10644757B1,2020-05-05,Nxp B.V.,Near-field communications device
EP3855124A1,0,0,0,0
EP3858198A1,US1932217A,1933-10-24,American Show Case & Mfg Compa,Merchandise display tray
EP3858198A1,DE8529412U1,1985-12-05,"Fritz Schäfer GmbH, 5908 Neunkirchen","Shelf with shelves made of laminated material, in particular sheet metal"
EP3858198A1,DE202006010525U1,2006-10-05,Umdasch Shop Concept Gmbh,"Upright for shelf systems comprises hollow profile with vertical slots in one face, into which clips on shelves fit, horizontal slots in adjacent face having section extending over corner, allowing clips on cross-bars to be inserted"
EP3858198A1,DE202014103445U1,2014-08-21,Werkhaus Design + Produktion Gmbh,Stacking shelf element and cover plate element for a modular stacking shelf
EP3858505A1,GB904275A,1962-08-29,Schloemann Ag,Improvements in hydraulic presses for extruding metal rods or tubes
EP3858505A1,JPH08267123A,1996-10-15,Norsk Hydro As,Extrusion die
EP3858505A1,WO2008010614A1,2008-01-24,Sung Gi Choe,A die assembly and a method of making it
EP3858513A1,FR323499A,1903-03-07,Maquet Felix Anton,Machine for manufacturing the closing elbow levers for mechanical spring caps
EP3858513A1,US2087490A,1937-07-20,Galveston Buckle Company,Buckle forming machine
EP3858513A1,US3377666A,1968-04-16,American Mfg Company Inc,Buckle for flexible strapping
EP3858513A1,NL2015180B1,2017-02-02,Marel Stork Poultry Proc Bv,Link chain and method for producing it.
EP3859554A1,US20160307113A1,2016-10-20,Xerox Corporation,Large-scale batch active learning using locality sensitive hashing
EP3859554A1,US20190272344A1,2019-09-05,Yangdi Lu,Random draw forest index structure for searching large scale unstructured data
EP3860147A1,EP2091267A1,2009-08-19,Oticon A/S,"Receiver module for a hearing device, hearing device and hearing device earpiece"
EP3860147A1,EP2166779A2,2010-03-24,Sonion Nederland B.V.,An apparatus for outputting sound comprising multiple receivers and a common output channel
EP3860147A1,US7995782B2,2011-08-09,"Siemens Hearing Instruments, Inc.",Combined receiver and ear-canal microphone assembly for a hearing instrument
EP3860147A1,WO2015026043A1,2015-02-26,크레신 주식회사,Earphones
EP3860147A1,US20150092952A1,2015-04-02,Kabushiki Kaisha Toshiba,Audio Device and Control Method
EP3860147A1,EP3160157A1,2017-04-26,Sonion Nederland B.V.,Vibration compensated vibro acoustical assembly
EP3860147A1,US20060251282A1,2006-11-09,Kuo-Tisng Kaoh,Earphone with built-in microphone
EP3860147A1,DE102008034715A1,2010-02-04,Siemens Medical Instruments Pte. Ltd.,Hearing aid with UV sensor and operating procedure
EP3860147A1,EP3726855B1,2021-09-01,Sonion Nederland B.V.,A personal hearing device with a vent channel and acoustic separation
EP3862075A1,DE4321895A1,1995-01-12,Holger Achelpohl,"Process and apparatus for drying bulk material, preferably plastics granules (pellets)"
EP3862075A1,JP2017070898A,2017-04-13,中部エコテック株式会社,Particle size regulation device and production method of spherical compost
EP3862075A1,CN206560846U,2017-10-17,淮南市沃益生物科技有限公司,A kind of fertilizer granulation circle-throw movement machine
EP3862257A1,NL7705998A,1977-12-06,Petroles Cie Francaise,PROCEDURE FOR TRANSHIPMENT OF CARGO AT SEA AND ESTABLISHMENT FOR EXPORTING IT.
EP3862257A1,WO2002020343A1,2002-03-14,P & R Systems,"A vessel, provided with a gang plank for coupling to an offshore pole structure"
EP3862257A1,EP2505486A1,2012-10-03,Fundacion Centro Tecnologico de Componentes,Gangway
EP3862257A1,WO2013180564A1,2013-12-05,Z Knowledge B.V.,"Vessel provided with a gangway supported by a 2-dof hinged upright column, in particular a cardan"
EP3862257A1,EP2752361A1,2014-07-09,Hallcon b.v.,Hoisting system and accompagnying connector catch assembly
EP3862836A1,JP2017047694A,2017-03-09,日立オートモティブシステムズ株式会社,Vehicle control device and vehicle control system
EP3862924A1,US20080204333A1,2008-08-28,Em Microelectronic-Marin S.A.,Device for checking energy received by an antenna for preventing data corruption during a write operation in a non volatile transponder memory
EP3862924A1,US20130299593A1,2013-11-14,Robert Mason Glidden III,"Parallel stage power output rectifier for radio-frequency identification (rfid) devices, and related components and methods"
EP3862924A1,US20150145591A1,2015-05-28,Atmel Corporation,Charge pump with reduced current consumption
EP3862924A1,TW200412725A,2004-07-16,Fairchild Semiconductor,Current integrating sense amplifier for memory modules in RFID
EP3863254A1,US20190238586A1,2019-08-01,"Fescaro Co., Ltd.",Can controller safe against can-communication-based hacking attack
EP3863254A1,JP2855298B2,1999-02-10,インテル・コーポレーション,Arbitration method of interrupt request and multiprocessor system
EP3863254A1,US5347638A,1994-09-13,"Seagate Technology, Inc.",Method and apparatus for reloading microinstruction code to a SCSI sequencer
EP3863254A1,US6243778B1,2001-06-05,"Stmicroelectronics, Inc.",Transaction interface for a data communication system
EP3863254A1,US8780772B2,2014-07-15,"Samsung Electronics Co., Ltd.",Communication protocol for wireless enhanced controller area networks
EP3863254A1,US9894084B2,2018-02-13,"Nxp Usa, Inc.",Illegal message destroyer
