publication_number,patent_citation,publication_date,assignee,title
EP3796089A1,US6952253B2,2005-10-04,Asml Netherlands B.V.,Lithographic apparatus and device manufacturing method
EP3796089A1,EP1628164A2,2006-02-22,ASML Netherlands B.V.,Method and apparatus for angular-resolved spectroscopic lithography characterisation
EP3796089A1,US20100328655A1,2010-12-30,"Asml, Netherlands B.V.",Diffraction Based Overlay Metrology Tool and Method
EP3796089A1,US20110027704A1,2011-02-03,Asml Netherlands B.V.,"Methods and Scatterometers, Lithographic Systems, and Lithographic Processing Cells"
EP3796089A1,US20110026032A1,2011-02-03,Asml Netherland B.V.,"Method of Assessing a Model of a Substrate, an Inspection Apparatus and a Lithographic Apparatus"
EP3796089A1,US20110102753A1,2011-05-05,Asml Netherlands B.V.,Apparatus and Method of Measuring a Property of a Substrate
EP3796089A1,US20110249244A1,2011-10-13,Asml Netherlands B.V.,Lithographic Focus and Dose Measurement Using A 2-D Target
EP3796089A1,US20120044470A1,2012-02-23,Asml Netherlands B.V.,"Substrate for Use in Metrology, Metrology Method and Device Manufacturing Method"
EP3796089A1,US20160161863A1,2016-06-09,Asml Netherlands B.V.,"Metrology method, computer product and system"
EP3796089A1,US20160370717A1,2016-12-22,Asml Netherlands B.V.,Recipe selection based on inter-recipe consistency
EP3796089A1,US20170336198A1,2017-11-23,Kla-Tencor Corporation,Apparatus and methods for detecting overlay errors using scatterometry
EP3796089A1,WO2019068459A1,2019-04-11,Stichting Vu,Metrology system and method for determining a characteristic of one or more structures on a substrate
EP3751342A1,US6952253B2,2005-10-04,Asml Netherlands B.V.,Lithographic apparatus and device manufacturing method
EP3751342A1,EP1628164A2,2006-02-22,ASML Netherlands B.V.,Method and apparatus for angular-resolved spectroscopic lithography characterisation
EP3751342A1,US20100328655A1,2010-12-30,"Asml, Netherlands B.V.",Diffraction Based Overlay Metrology Tool and Method
EP3751342A1,WO2011012624A1,2011-02-03,Asml Netherlands B.V.,"Metrology method and apparatus, lithographic system, and lithographic processing cell"
EP3751342A1,US20110026032A1,2011-02-03,Asml Netherland B.V.,"Method of Assessing a Model of a Substrate, an Inspection Apparatus and a Lithographic Apparatus"
EP3751342A1,US20110102753A1,2011-05-05,Asml Netherlands B.V.,Apparatus and Method of Measuring a Property of a Substrate
EP3751342A1,US20110249244A1,2011-10-13,Asml Netherlands B.V.,Lithographic Focus and Dose Measurement Using A 2-D Target
EP3751342A1,US20120044470A1,2012-02-23,Asml Netherlands B.V.,"Substrate for Use in Metrology, Metrology Method and Device Manufacturing Method"
EP3751342A1,US20160061750A1,2016-03-03,Vrije Universiteit Amsterdam,"Inspection Apparatus, Inspection Method And Manufacturing Method"
EP3751342A1,US20160161863A1,2016-06-09,Asml Netherlands B.V.,"Metrology method, computer product and system"
EP3751342A1,US20160370717A1,2016-12-22,Asml Netherlands B.V.,Recipe selection based on inter-recipe consistency
EP3751342A1,NL2021848A,2018-11-06,Stichting Vu,Holographic metrology apparatus.
EP3751342A1,US20190107781A1,2019-04-11,Stichting Vu,Metrology System and Method For Determining a Characteristic of One or More Structures on a Substrate
EP3839635A1,WO2004094942A2,2004-11-04,"Ut-Battelle, Llc",Recording multiple spatially-heterodyned direct to digital holograms in one digital image
EP3839635A1,US6952253B2,2005-10-04,Asml Netherlands B.V.,Lithographic apparatus and device manufacturing method
EP3839635A1,US6961116B2,2005-11-01,Asml Netherlands B.V.,"Lithographic apparatus, device manufacturing method, and device manufactured thereby"
EP3839635A1,US20060033921A1,2006-02-16,Asml Netherlands B.V.,Method and apparatus for angular-resolved spectroscopic lithography characterization
EP3839635A1,US7265364B2,2007-09-04,Asml Netherlands B.V.,Level sensor for lithographic apparatus
EP3839635A1,WO2009078708A1,2009-06-25,Asml Netherlands B.V.,Diffraction based overlay metrology tool and method
EP3839635A1,WO2009106279A1,2009-09-03,Asml Netherlands B.V.,"Metrology method and apparatus, lithographic apparatus, and device manufacturing method"
EP3839635A1,US7646471B2,2010-01-12,Asml Netherlands B.V.,"Lithographic apparatus, level sensor, method of inspection, device manufacturing method, and device manufactured thereby"
EP3839635A1,US20100201963A1,2010-08-12,Asml Netherlands B.V.,"Inspection Apparatus, Lithographic Apparatus, Lithographic Processing Cell and Inspection Method"
EP3839635A1,US20100233600A1,2010-09-16,Asml Netherlands B.V.,Level sensor arrangement for lithographic apparatus and device manufacturing method
EP3839635A1,US20110027704A1,2011-02-03,Asml Netherlands B.V.,"Methods and Scatterometers, Lithographic Systems, and Lithographic Processing Cells"
EP3839635A1,US20110026032A1,2011-02-03,Asml Netherland B.V.,"Method of Assessing a Model of a Substrate, an Inspection Apparatus and a Lithographic Apparatus"
EP3839635A1,US20110043791A1,2011-02-24,Asml Netherlands B.V.,"Metrology Method and Apparatus, Lithographic Apparatus, Device Manufacturing Method and Substrate"
EP3839635A1,US20110102753A1,2011-05-05,Asml Netherlands B.V.,Apparatus and Method of Measuring a Property of a Substrate
EP3839635A1,US20110249244A1,2011-10-13,Asml Netherlands B.V.,Lithographic Focus and Dose Measurement Using A 2-D Target
EP3839635A1,US20120044470A1,2012-02-23,Asml Netherlands B.V.,"Substrate for Use in Metrology, Metrology Method and Device Manufacturing Method"
EP3839635A1,US20120123581A1,2012-05-17,Asml Netherlands B.V.,"Metrology Method and Inspection Apparatus, Lithographic System and Device Manufacturing Method"
EP3839635A1,US20130258310A1,2013-10-03,Asml Netherlands B.V.,"Metrology Method and Apparatus, Lithographic System and Device Manufacturing Method"
EP3839635A1,US20130271740A1,2013-10-17,Asml Netherlands B.V.,"Lithographic Apparatus, Substrate and Device Manufacturing Method"
EP3839635A1,WO2013178422A1,2013-12-05,Asml Netherlands B.V.,"Metrology method and apparatus, substrate, lithographic system and device manufacturing method"
EP3839635A1,US20150261097A1,2015-09-17,Asml Netherlands B.V.,"Position Measuring Apparatus, Position Measuring Method, Lithographic Apparatus and Device Manufacturing Method"
EP3839635A1,US20160061750A1,2016-03-03,Vrije Universiteit Amsterdam,"Inspection Apparatus, Inspection Method And Manufacturing Method"
EP3839635A1,US20160161864A1,2016-06-09,Asml Netherlands B.V.,"Metrology Method and Apparatus, Lithographic System and Device Manufacturing Method"
EP3839635A1,US20160161863A1,2016-06-09,Asml Netherlands B.V.,"Metrology method, computer product and system"
