publication_number,patent_citation,publication_date,assignee,title
EP2403528A2,US4816567A,1989-03-28,"Genentech, Inc.",Recombinant immunoglobin preparations
EP2403528A2,US5260203A,1993-11-09,"Enzon, Inc.",Single polypeptide chain binding molecules
EP2403528A2,AT87659T,1993-04-15,Enzon Lab Inc,BINDING MOLECULE WITH SINGLE POLYPEPTIDE CHAIN.
EP2403528A2,AU600575B2,1990-08-16,"Sb2, Inc.",Altered antibodies
EP2403528A2,US4946778A,1990-08-07,Genex Corporation,Single polypeptide chain binding molecules
EP2403528A2,DE3920358A1,1991-01-17,Behringwerke Ag,"BISPECIFIC AND OLIGO-SPECIFIC, MONO- AND OLIGOVALENT ANTI-BODY CONSTRUCTS, THEIR PRODUCTION AND USE"
EP2403528A2,EP0617706B1,2001-10-17,"Enzon, Inc.",Multivalent antigen-binding proteins
EP2403528A2,DE69434988T2,2008-03-06,"Human Genome Sciences, Inc.",Tumor necrosis FACTOR GAMMA
EP2403528A2,US6171787B1,2001-01-09,Abbott Laboratories,Member of the TNF family useful for treatment and diagnosis of disease
EP2403528A2,AU759717B2,2003-04-17,Apoxis Sa,April- a novel protein with growth effects
EP2403528A2,AT329610T,2006-07-15,Genentech Inc,ANTI-APRIL ANTIBODIES AND HYBRIDOMA CELLS
EP2403528A2,US20020086018A1,2002-07-04,Theill Lars Eyde,"Methods and compositions of matter concerning APRIL/G70, BCMA, BLYS/AGP-3, and TACI"
EP2403528A2,CA2413160A1,2001-12-20,"Human Genome Sciences, Inc.",Human tumor necrosis factor delta and epsilon
EP2403528A2,EP1401870A4,2006-04-19,Human Genome Sciences,Antibodies against tumor necrosis factor delta (april)
EP2403528A2,EP1572881A4,2007-06-13,Genentech Inc,Tacis and br3 polypeptides and uses thereof
EP2403528A2,AU2003226356A1,2003-10-27,Ramot At Tel Aviv University Ltd.,Prevention of brain inflammation as a result of induced autoimmune response
EP2403528A2,AU2004315198A1,2005-08-18,"Genentech, Inc.",Variants of the extracellular domain of BCMA and uses thereof
EP2403528A2,DE602005022871D1,2010-09-23,Univ Ramot,METHOD FOR THE PASSIVE IMMUNIZATION AGAINST A DISEASE OR DISEASE DETERIENTED BY AMYLOID AGGREGATION WITH REDUCED NERVE IGNITION RISK
EP2403528A2,US7919243B2,2011-04-05,Technische Universitat Wien,Method for the detection of Fusarium graminearum
EP2499156A2,CA2474033C,2013-06-04,Royal Nedalco B.V.,Fermentation of pentose sugars
EP2499156A2,PT103331A,2007-02-28,Fundacao Da Faculdade De Cienc,EXPRESSION OF AN ACTIVE CONVEYOR OF XYLOSIS IN SACCHAROMYCES CEREVISIAE GENETICALLY MODIFIED
EP2499156A2,DE102006060381B4,2010-04-08,Johann Wolfgang Goethe-Universität Frankfurt am Main,New specific arabinose transporter from the yeast Pichia stipitis and its uses
EP2499156A2,DE102007016534B4,2019-03-28,Butalco Gmbh,New expression vector of codon-optimized genes of an arabinose pathway for arabinose conversion into yeast
EP2499156A2,WO2008130603A2,2008-10-30,Archer-Daniels-Midland Company,Increased ethanol production from xylose
EP2499156A2,EP2511285A3,2012-11-28,Mascoma Corporation,"Gene knockout mesophilic and thermophilic organisms, and methods of use thereof"
EP2499156A2,PT103780A,2009-01-06,Univ Nova De Lisboa,"SEQUENCE OF DNA CODING A SPECIFIC TRANSPORTER FOR L-ARABINOSE, CDNA MOLECULE, PLASMIDE, UNDERSTANDING THE AFFECTED DNA SEQUENCE, HOST CELL TRANSFORMED WITH THAT PLUMBING AND APPLICATION."
EP2499156A2,CN101965401B,2014-06-04,帝斯曼知识产权资产管理有限公司,A pentose sugar fermenting cell
EP2499156A2,WO2009112472A2,2009-09-17,Dsm Ip Assets B.V.,Selection of organisms capable of fermenting mixed substrates
EP2499156A2,NZ590750A,2012-12-21,Univ Massachusetts,"Methods and compositions for improving the production of products in microorganisms, especially clostridium phytofermentans"
