publication_number,patent_citation,publication_date,assignee,title
EP2403528A2,US10385123B2,2019-08-20,"Visterra, Inc.",Antibody molecules to a proliferation-inducing ligand (APRIL)
EP2403528A2,US11183286B2,2021-11-23,"Gritstone Bio, Inc.","Neoantigen identification, manufacture, and use"
EP2403528A2,US11264117B2,2022-03-01,"Gritstone Bio, Inc.",Neoantigen identification using hotspots
EP2403528A2,WO1995003342A1,1995-02-02,"Nippon Shokubai Co., Ltd.","Maleic copolymer, process for producing the same and use thereof"
EP2403528A2,EP0942015B1,2004-05-12,"Nippon Shokubai Co., Ltd.",(Meth)acrylic acid polymer and manufacturing method thereof
EP2403528A2,JP6421371B2,2018-11-14,学校法人近畿大学,Antibodies against transporters and uses thereof
EP2403528A2,NL2011406C2,2015-03-10,Bionovion Holding B V,"Method for obtaining april-binding peptides, process for producing the peptides, april-binding peptides obtainable with said method/process and use of the april-binding peptides."
EP2403528A2,AU2015213735A1,2016-08-04,Merck Sharp & Dohme Corp.,Antibodies that bind to human Tau and assay for quantifying human Tau using the antibodies
EP2403528A2,AU2015218905A1,2016-08-04,Emergent Biosolutions Canada Inc.,Ebola monoclonal antibodies
EP2403528A2,CA2939293A1,2015-09-17,The Board Of Trustees Of The Leland Standford Junior University,Anti sirp-alpha antibodies and bi-specific macrophage enhancing antibodies
EP2403528A2,NL2014108B1,2016-09-30,Aduro Biotech Holdings Europe B V,Altered april binding antibodies.
EP2403528A2,US10526412B2,2020-01-07,Universite Grenoble Alpes,Anti APRIL (a proliferation-inducing ligand) antibodies and their uses for the prognosis and/or diagnosis of cancer
EP2403528A2,WO2016145102A1,2016-09-15,"Aduro Biotech, Inc.","Compositions and methods for activating ""stimulator of interferon gene"" -dependent signalling"
EP2403528A2,US11098077B2,2021-08-24,"Chinook Therapeutics, Inc.",Locked nucleic acid cyclic dinucleotide compounds and uses thereof
EP2403528A2,JP2020508990A,2020-03-26,マップ バイオファーマシューティカル、インコーポレイテッド,Monoclonal antibodies and cocktails for the treatment of Ebola infection
EP2403528A2,UY37695A,2018-11-30,Novartis Ag,BIS 2’-5’-RR- (3’F-A) (3’F-A) CYCLE DINUCLEOTIDE COMPOUND AND USES OF THE SAME
EP2403528A2,WO2020144535A1,2020-07-16,"Aduro Biotech Holdings, Europe B.V.",Methods and compositions for treatment of multiple myeloma
EP2403528A2,US20210379183A1,2021-12-09,"Chinook Therapeutics, Inc.",METHODS OF TREATING IgA NEPHROPATHY WITH AN APRIL BINDING ANTIBODY
EP2499156A2,EP2699589A2,2014-02-26,DSM IP Assets B.V.,Yeast cell capable of converting sugars including arabinose and xylose
EP2499156A2,CN104844698B,2020-09-25,中国科学院天津工业生物技术研究所,"Method for promoting microbial cells to transport glucose, xylose and arabinose and application of method in fermentation of bio-based products"
EP2499156A2,CA2965385A1,2016-04-28,Johann Wolfgang Goethe-Universitat Frankfurt,Variants of gal2 transporter and their uses
EP2499156A2,WO2021119304A1,2021-06-17,Novozymes A/S,Microorganism for improved pentose fermentation
EP2499156A2,CN111411122A,2020-07-14,华南农业大学,Application of rice blast germ gene MoHXT2 in regulation and control of plant sugar transport function
EP2468184A1,0,0,0,0
EP2243882A1,RU2465390C2,2012-10-27,"Государственное образовательное учреждение высшего профессионального образования ""Тольяттинский государственный университет""",Noise-reducing screen
EP2243882A1,JP2015168960A,2015-09-28,三井住友建設株式会社,"Soundproof structure of temporary enclosure for construction site, and tip-improved type silencer"
EP2243882A1,CN110258369A,2019-09-20,新昌县凌智机械有限公司,Traffic Engineering Construction wind-proof dust-suppression absorption type baffle arrangement
EP2243882A1,WO2020165549A1,2020-08-20,Desrocques Guillaume,"Cover structure for a pollutant emitting site, the construction method thereof and a method for protecting the environment implementing this cover structure"
EP2243882A1,CN112774362A,2021-05-11,曾林香,Energy-efficient environmental protection dust collecting equipment
EP2260696A1,NL2014783A,2016-11-21,Innosell B V,Stable floor with manure separation.
EP2260696A1,AT519396A1,2018-06-15,Grabner Gerhard,Floor construction for a horse yard
EP2260696B1,NL2014783B1,2017-01-26,Innosell B V,Stable floor with manure separation.
EP2260696B1,AT519396A1,2018-06-15,Grabner Gerhard,Floor construction for a horse yard
EP2389603A1,CN102577880A,2012-07-18,张一熙,Photovoltaic stereo rice growing system
EP2389603A1,FR2971060B1,2013-08-09,Saint Gobain,TRANSPARENT ELEMENT WITH DIFFUSE REFLECTION
EP2389603A1,FR2993200B1,2014-07-18,Saint Gobain,TRANSPARENT ELEMENT WITH DIFFUSED REFLECTION COMPRISING A SOL-GEL LAYER
EP2389603A1,FR3012363B1,2015-10-23,Saint Gobain,TRANSPARENT LAYER ELEMENT
EP2389603A1,US10877188B2,2020-12-29,"Kuraray Co., Ltd.",Composite diffuser plate
EP2389603A1,FR3035397A1,2016-10-28,Saint-Gobain Glass France,TEXTURE GLASS FOR GREENHOUSE
EP2389603A1,MA45342A,2019-04-10,Saint Gobain,"LUMINOUS SHEET GLASS ROOF OF VEHICLE, INCORPORATED VEHICLE AND MANUFACTURING"
EP2389603A1,FR3071242B1,2022-02-04,Saint Gobain,"TRANSPARENT TEXTURED SUBSTRATE, PARTICULARLY FOR GREENHOUSES"
EP2468305A1,NL2009145C2,2014-01-07,Xeltis B V,Implant.
EP2468305A1,WO2016120456A1,2016-08-04,Technische Universiteit Eindhoven,Supramolecular polymer blend
EP2468305A1,WO2012142670A1,2012-10-26,The University Of Queensland,Nuclear magnetic resonance agent
EP2468305A1,WO2016018145A1,2016-02-04,Suprapolix B.V.,Durable hydrogen bonded hydrogels
EP2880971B1,NL2003810C2,2011-05-17,Idea Packaging B V,METHOD AND SUBSTRATE FOR GROWING A PLANT.
EP2880971B1,USD760118S1,2016-06-28,OÜ Click & Glow,Indoor planter
